Directors,Stars
Robert De Niro,"Robert De Niro, Chazz Palminteri, Lillo Brancato"
Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor"
Robert Stevenson,"Julie Andrews, Dick Van Dyke, David Tomlinson"
Hirokazu Koreeda,"Sakura Andô, Eita Nagayama, Soya Kurokawa"
Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman"
Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris"
Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler"
S.S. Rajamouli,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn"
Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward"
Rob Reiner,"James Caan, Kathy Bates, Richard Farnsworth"
Kiyotaka Oshiyama,"Yumi Kawai, Mizuki Yoshida, Yôichirô Saitô"
David Mickey Evans,"Tom Guiry, Mike Vitar, Art LaFleur"
John Schlesinger,"Dustin Hoffman, Jon Voight, Sylvia Miles"
Jithu Madhavan,"Fahadh Faasil, Hipzster, Mithun Jai Shankar"
F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell"
James Mangold,"Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin"
Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
"Don Hall, Chris Williams","Ryan Potter, Scott Adsit, Jamie Chung"
John Singleton,"Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir"
Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis"
Alan Parker,"Gene Hackman, Willem Dafoe, Frances McDormand"
Joss Whedon,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor"
Lukas Dhont,"Eden Dambrine, Gustav De Waele, Émilie Dequenne"
Michael Mann,"Russell Crowe, Al Pacino, Christopher Plummer"
Terry Gilliam,"Jonathan Pryce, Kim Greist, Robert De Niro"
Richard Schenkman,"David Lee Smith, Tony Todd, John Billingsley"
Tomas Alfredson,"Kåre Hedebrant, Lina Leandersson, Per Ragnar"
John Ford,"John Wayne, Jeffrey Hunter, Vera Miles"
Duncan Jones,"Sam Rockwell, Kevin Spacey, Dominique McElligott"
Paul Greengrass,"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman"
Hayao Miyazaki,"Kirsten Dunst, Minami Takayama, Rei Sakuma"
Lukas Moodysson,"Oksana Akinshina, Artyom Bogucharskiy, Pavel Ponomaryov"
Rahul Sadasivan,"Mammootty, Arjun Ashokan, Sidharth Bharathan"
David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams"
Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Ewa Fröling"
Ron Howard,"Viggo Mortensen, Colin Farrell, Joel Edgerton"
Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler"
Robert Benton,"Dustin Hoffman, Meryl Streep, Jane Alexander"
Bob Fosse,"Liza Minnelli, Michael York, Helmut Griem"
Edward Zwick,"Matthew Broderick, Denzel Washington, Cary Elwes"
George A. Romero,"Duane Jones, Judith O'Dea, Karl Hardman"
Bob Fosse,"Roy Scheider, Jessica Lange, Ann Reinking"
Lars von Trier,"Emily Watson, Stellan Skarsgård, Katrin Cartlidge"
Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton"
Philip Kaufman,"Sam Shepard, Scott Glenn, Ed Harris"
Clint Eastwood,"Clint Eastwood, Sondra Locke, Chief Dan George"
Stanley Donen,"Cary Grant, Audrey Hepburn, Walter Matthau"
George A. Romero,"David Emge, Ken Foree, Scott H. Reiniger"
Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks"
James Ivory,"Anthony Hopkins, Emma Thompson, John Haycraft"
Tim Burton,"Johnny Depp, Martin Landau, Sarah Jessica Parker"
Hayao Miyazaki,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto"
Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata"
Martin Scorsese,"Robert De Niro, Jerry Lewis, Diahnne Abbott"
Yoshifumi Kondô,"Yoko Honna, Issei Takahashi, Takashi Tachibana"
Jacques Audiard,"Tahar Rahim, Niels Arestrup, Adel Bencherif"
Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman"
Na Hong-jin,"Kim Yoon-seok, Ha Jung-woo, Seo Young-hee"
Roger Donaldson,"Anthony Hopkins, Diane Ladd, Iain Rea"
Joe Johnston,"Jake Gyllenhaal, Chris Cooper, Laura Dern"
Sydney Pollack,"Jane Fonda, Michael Sarrazin, Susannah York"
Roland Joffé,"Sam Waterston, Haing S. Ngor, John Malkovich"
Clint Eastwood,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara"
Werner Herzog,"Klaus Kinski, Ruy Guerra, Helena Rojo"
Tod Browning,"Wallace Ford, Leila Hyams, Olga Baclanova"
Sunghoo Park,"Megumi Ogata, Kana Hanazawa, Yûichi Nakamura"
John Ford,"John Wayne, Claire Trevor, Andy Devine"
James Whale,"Colin Clive, Mae Clarke, Boris Karloff"
Jim Sheridan,"Daniel Day-Lewis, Brenda Fricker, Alison Whelan"
Elia Kazan,"James Dean, Raymond Massey, Julie Harris"
Yoshiaki Kawajiri,"Kôichi Yamadera, Emi Shinohara, Takeshi Aono"
Pedro Almodóvar,"Cecilia Roth, Marisa Paredes, Candela Peña"
Werner Herzog,"Timothy Treadwell, Amie Huguenard, Werner Herzog"
George Cukor,"Cary Grant, Katharine Hepburn, James Stewart"
Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West"
John Carney,"Glen Hansard, Markéta Irglová, Hugh Walsh"
Alfred Hitchcock,"Teresa Wright, Joseph Cotten, Macdonald Carey"
George Cukor,"Charles Boyer, Ingrid Bergman, Joseph Cotten"
"Kevin Altieri, Boyd Kirkland, Frank Paur","Kevin Conroy, Dana Delany, Hart Bochner"
Sanjay Leela Bhansali,"Alia Bhatt, Shantanu Maheshwari, Vijay Raaz"
Woody Allen,"Mia Farrow, Dianne Wiest, Michael Caine"
Krzysztof Kieslowski,"Juliette Binoche, Zbigniew Zamachowski, Julie Delpy"
Kabir Khan,"Kartik Aaryan, Vijay Raaz, Bhuvan Arora"
Michael Haneke,"Christian Friedel, Ernst Jacobi, Leonie Benesch"
Woody Allen,"Woody Allen, Diane Keaton, Mariel Hemingway"
Federico Fellini,"Magali Noël, Bruno Zanin, Pupella Maggio"
Girish A.D.,"Naslen, Mamitha Baiju, Shyam Mohan"
James Whale,"Boris Karloff, Elsa Lanchester, Colin Clive"
Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon"
Stanley Kramer,"Spencer Tracy, Sidney Poitier, Katharine Hepburn"
Aditya Suhas Jambhale,"Yami Gautam, Priyamani, Vaibhav Tatwawadi"
"DK Welchman, Hugh Welchman","Douglas Booth, Jerome Flynn, Robert Gulaczyk"
Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy"
Frank Capra,"Jean Arthur, James Stewart, Lionel Barrymore"
Yash Chopra,"Shah Rukh Khan, Preity G Zinta, Rani Mukerji"
Luis Buñuel,"Fernando Rey, Delphine Seyrig, Paul Frankeur"
"Shôgo Furuya, Satoshi Kon","Tôru Emori, Yoshiaki Umegaki, Aya Okamoto"
Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire"
Aleksey Balabanov,"Sergey Bodrov, Viktor Sukhorukov, Svetlana Pismichenko"
Jacques Tati,"Jacques Tati, Barbara Dennek, Rita Maiden"
Imtiaz Ali,"Diljit Dosanjh, Parineeti Chopra, Apinderdeep Singh"
Douglas Sirk,"Lana Turner, John Gavin, Sandra Dee"
Martin Ritt,"Paul Newman, Melvyn Douglas, Patricia Neal"
"Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura","Beau Billingslea, Melissa Fahn, Nicholas Guest"
David Lean,"John Mills, Valerie Hobson, Tony Wager"
Dalton Trumbo,"Timothy Bottoms, Kathy Fields, Marsha Hunt"
Howard Hawks,"Katharine Hepburn, Cary Grant, Charles Ruggles"
Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui"
Nuri Bilge Ceylan,"Muhammet Uzuner, Yilmaz Erdogan, Taner Birsel"
Howard Hawks,"Humphrey Bogart, Lauren Bacall, Walter Brennan"
Christophe Barratier,"Gérard Jugnot, François Berléand, Jean-Baptiste Maunier"
Hirokazu Koreeda,"Masaharu Fukuyama, Machiko Ono, Yôko Maki"
Bruce Beresford,"Edward Woodward, Jack Thompson, John Waters"
Ken Loach,"Dave Johns, Hayley Squires, Sharon Percy"
Gabriel Axel,"Stéphane Audran, Bodil Kjer, Birgitte Federspiel"
John Frankenheimer,"Burt Lancaster, Paul Scofield, Jeanne Moreau"
Luis Buñuel,"Fernando Rey, Carole Bouquet, Ángela Molina"
Martin Zandvliet,"Roland Møller, Louis Hofmann, Joel Basman"
John Frankenheimer,"Burt Lancaster, Kirk Douglas, Fredric March"
Agnès Varda,"Corinne Marchand, Antoine Bourseiller, Dominique Davray"
Asif Kapadia,"Amy Winehouse, Mitch Winehouse, Mark Ronson"
Nora Fingscheidt,"Helena Zengel, Albrecht Schuch, Gabriela Maria Schmeide"
William Dieterle,"Charles Laughton, Maureen O'Hara, Cedric Hardwicke"
William Wyler,"Audrey Hepburn, Shirley MacLaine, James Garner"
Joseph L. Mankiewicz,"Gene Tierney, Rex Harrison, George Sanders"
Saket Chaudhary,"Irrfan Khan, Saba Qamar, Dishita Sehgal"
David Lean,"Robert Newton, Alec Guinness, Kay Walsh"
"Melvin Frank, Norman Panama","Danny Kaye, Glynis Johns, Basil Rathbone"
John Huston,"Sterling Hayden, Louis Calhern, Jean Hagen"
Peter Glenville,"Richard Burton, Peter O'Toole, John Gielgud"
"Satoshi Kon, Kô Matsuo","Miyoko Shôji, Shôzô Îzuka, Mami Koyama"
Sidney Lumet,"Sean Connery, Harry Andrews, Ian Bannen"
"Daisuke Nishio, Hirotoshi Rissen, Kazuhisa Takenouchi","Romanthony, Thomas Bangalter"
Billy Wilder,"James Cagney, Horst Buchholz, Pamela Tiffin"
Federico Fellini,"Alberto Sordi, Franco Fabrizi, Franco Interlenghi"
Woody Allen,"Martin Landau, Woody Allen, Bill Bernstein"
Joseph Losey,"Dirk Bogarde, Sarah Miles, Wendy Craig"
Chris Smith,"Mark Borchardt, Mike Schank, Tom Schimmels"
Saeed Roustayi,"Payman Maadi, Navid Mohammadzadeh, Parinaz Izadyar"
Jean-Luc Godard,"Anna Karina, Sady Rebbot, André S. Labarthe"
Louie Psihoyos,"James Wilks, Arnold Schwarzenegger, Patrik Baboumian"
Ang Lee,"Sihung Lung, Kuei-Mei Yang, Wang Yu-wen"
Ciro Guerra,"Nilbio Torres, Jan Bijvoet, Antonio Bolívar"
"Michael Radford, Massimo Troisi","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta"
Ramkumar Balakrishnan,"Harish Kalyan, M.S. Bhaskar, Indhuja Ravichandran"
Frank Capra,"Gary Cooper, Jean Arthur, George Bancroft"
Thomas Jahn,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke"
Alain Resnais,"Emmanuelle Riva, Eiji Okada, Stella Dassas"
Toshiyuki Kubooka,"Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari"
Nabwana I.G.G.,"Kakule William, Sserunya Ernest, G. Puffs"
Anna Muylaert,"Regina Casé, Helena Albergaria, Michel Joelsas"
Luis Buñuel,"Jean-Claude Brialy, Adolfo Celi, Michel Piccoli"
Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor"
Claude Barras,"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud"
Jean-Marc Vallée,"Michel Côté, Marc-André Grondin, Danielle Proulx"
Éric Rohmer,"Jean-Louis Trintignant, Françoise Fabian, Marie-Christine Barrault"
Blake Edwards,"Jack Lemmon, Lee Remick, Charles Bickford"
Henry Roosevelt,Maya Kowalski
David Gelb,"Jiro Ono, Yoshikazu Ono, Masuhiro Yamamoto"
Sunao Katabuchi,"Non, Ava Pickard, Kenna Pickard"
Pier Paolo Pasolini,"Anna Magnani, Ettore Garofolo, Franco Citti"
"Rajesh Bhatia, Laxman Utekar","Kriti Sanon, Evelyn Edwards, Pankaj Tripathi"
Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Awaji"
S. Shankar,"Joseph Vijay, Jiiva, Srikanth"
Ernst Lubitsch,"Greta Garbo, Melvyn Douglas, Ina Claire"
"Stéphane Aubier, Vincent Patar, Benjamin Renner","Lambert Wilson, Pauline Brunner, Anne-Marie Loop"
Wim Wenders,"Yella Rottländer, Rüdiger Vogler, Lisa Kreuzer"
Werner Herzog,"Werner Herzog, Klaus Kinski, Claudia Cardinale"
John Frankenheimer,"Burt Lancaster, Karl Malden, Thelma Ritter"
Vincente Minnelli,"Lana Turner, Kirk Douglas, Walter Pidgeon"
"Sam Wood, Edmund Goulding","Groucho Marx, Chico Marx, Harpo Marx"
Milos Avramovic,"Milos Bikovic, Miodrag Radonjic, Dragan Bjelogrlic"
Buster Keaton,"Buster Keaton, Ruth Dwyer, T. Roy Barnes"
Nikita Mikhalkov,"Nikita Mikhalkov, Ingeborga Dapkunaite, Oleg Menshikov"
Dileesh Pothan,"Fahadh Faasil, Basil Joseph, Dileesh Pothan"
Lee Chang-dong,"Sul Kyung-gu, Moon So-ri, Ahn Nae-sang"
Takahiro Ômori,"Kôki Uchiyama, Ayane Sakura, Shinpachi Tsuji"
Milcho Manchevski,"Katrin Cartlidge, Rade Serbedzija, Grégoire Colin"
Jean Cocteau,"Jean Marais, François Périer, María Casares"
Basil Joseph,"Tovino Thomas, Guru Somasundaram, Aju Varghese"
"Albert Maysles, David Maysles, Charlotte Zwerin","Mick Jagger, Keith Richards, Mick Taylor"
Lee Chang-dong,"Yun Jeong-hie, Lee Da-wit, Kim Hee-ra"
Ömer Vargi,"Sener Sen, Kenan Imirzalioglu, Ismail Hacioglu"
Mamoru Oshii,"Atsuko Tanaka, Akio Ôtsuka, Kôichi Yamadera"
Kenji Nagasaki,"Daiki Yamashita, Nobuhiko Okamoto, Yuka Terasaki"
Roberto Rossellini,"Edmund Moeschke, Ernst Pittschau, Ingetraud Hinze"
"Kanji Wakabayashi, Hiroshi Hamasaki, Takuya Satô","Mamoru Miyano, Asami Imai, Kana Hanazawa"
Louis Malle,"Maurice Ronet, Léna Skerla, Yvonne Clech"
Advait Chandan,"Zaira Wasim, Meher Vij, Raj Arjun"
"JR, Agnès Varda","Agnès Varda, JR, Jeannine Carpentier"
"Charles Reisner, Buster Keaton","Buster Keaton, Tom McGuire, Ernest Torrence"
Farhan Akhtar,"Hrithik Roshan, Preity G Zinta, Amitabh Bachchan"
Robert Kenner,"Michael Pollan, Eric Schlosser, Richard Lobb"
Fritz Lang,"Sylvia Sidney, Spencer Tracy, Walter Abel"
Cristi Puiu,"Doru Ana, Monica Barladeanu, Alina Berzunteanu"
Yasujirô Ozu,"Keiji Sada, Yoshiko Kuga, Chishû Ryû"
Juan José Campanella,"Ricardo Darín, Héctor Alterio, Norma Aleandro"
Mat Whitecross,"Paul Arthurs, Christine Biller, Mark Coyle"
Charles Chaplin,"Charles Chaplin, Mady Correll, Allison Roddan"
Ron Howard,"The Beatles, John Lennon, George Harrison"
Robert Wise,"Robert Ryan, Audrey Totter, George Tobias"
Bryan Fogel,"Jamal Khashoggi, Omar Abdulaziz, Irfan Fidan"
Henri-Georges Clouzot,"Pierre Fresnay, Ginette Leclerc, Micheline Francey"
S. Shankar,"Anil Kapoor, Rani Mukerji, Amrish Puri"
Vikram K. Kumar,"Suriya, Samantha Ruth Prabhu, Nithya Menen"
Steve James,"Roger Ebert, Chaz Ebert, Gene Siskel"
Abhishek Kapoor,"Amit Sadh, Sushant Singh Rajput, Rajkummar Rao"
Gauri Shinde,"Sridevi, Adil Hussain, Mehdi Nebbou"
Luis Buñuel,"Claudio Brook, Silvia Pinal, Enrique Álvarez Félix"
"Terry Hughes, Ian MacNaughton","John Cleese, Michael Palin, Eric Idle"
Dave Grohl,"Trent Reznor, Tom Petty, Mick Fleetwood"
Pavel Lungin,"Pyotr Mamonov, Viktor Sukhorukov, Dmitriy Dyuzhev"
Sashi Kiran Tikka,"Adivi Sesh, Sobhita Dhulipala, Jagapathi Babu"
Mehboob Khan,"Nargis, Sunil Dutt, Rajendra Kumar Tuli"
Yavuz Turgul,"Meltem Cumbul, Sener Sen, Timuçin Esen"
Prakash Jha,"Ajay Devgn, Gracy Singh, Mohan Joshi"
Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum"
Michael Gracey,"Robbie Williams, Jonno Davies, Steve Pemberton"
James Mangold,"Timothée Chalamet, Edward Norton, Elle Fanning"
David Lynch,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper"
Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson"
"Merlin Crossingham, Nick Park","Ben Whitehead, Peter Kay, Lauren Patel"
Richard Donner,"Sean Astin, Josh Brolin, Jeff Cohen"
Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene"
Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson"
Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames"
Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint"
Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro"
"Jim Abrahams, David Zucker, Jerry Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen"
Alfonso Cuarón,"Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho"
David Fincher,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo"
Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern"
George Sluizer,"Bernard-Pierre Donnadieu, Gene Bervoets, Johanna ter Steege"
Kevin Reynolds,"Jim Caviezel, Guy Pearce, Christopher Adamson"
John Sturges,"Yul Brynner, Steve McQueen, Charles Bronson"
Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha"
Abdellatif Kechiche,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche"
David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
David Fincher,"Michael Douglas, Deborah Kara Unger, Sean Penn"
Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon"
David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro"
Steven Soderbergh,"George Clooney, Brad Pitt, Julia Roberts"
Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon"
Marc Webb,"Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend"
Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore"
Robert Aldrich,"Lee Marvin, Ernest Borgnine, Charles Bronson"
Rob Reiner,"Tom Cruise, Jack Nicholson, Demi Moore"
Gregory Hoblit,"Richard Gere, Laura Linney, Edward Norton"
Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac"
Ang Lee,"Jake Gyllenhaal, Heath Ledger, Michelle Williams"
Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen"
Takashi Yamazaki,"Minami Hamabe, Ryunosuke Kamiki, Sakura Andô"
Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames"
"Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson"
Mark Herman,"Asa Butterfield, David Thewlis, Rupert Friend"
"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy"
Andrew Niccol,"Ethan Hawke, Uma Thurman, Jude Law"
Paul Haggis,"Don Cheadle, Sandra Bullock, Thandiwe Newton"
Joachim Trier,"Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum"
Nikolaj Arcel,"Mads Mikkelsen, Amanda Collin, Simon Bennebjerg"
Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence"
Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi"
Ang Lee,"Emma Thompson, Kate Winslet, James Fleet"
Jean-Jacques Annaud,"Sean Connery, Christian Slater, Helmut Qualtinger"
Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang"
Tony Scott,"Denzel Washington, Christopher Walken, Dakota Fanning"
Sam Mendes,"Tom Hanks, Tyler Hoechlin, Paul Newman"
Rob Reiner,"Billy Crystal, Meg Ryan, Carrie Fisher"
Alejandro G. Iñárritu,"Michael Keaton, Zach Galifianakis, Edward Norton"
Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris"
Mike Leigh,"David Thewlis, Lesley Sharp, Katrin Cartlidge"
James Marsh,"Eddie Redmayne, Felicity Jones, Tom Prior"
"Tony Bancroft, Barry Cook","Ming-Na Wen, Eddie Murphy, BD Wong"
Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman"
Francis Ford Coppola,"Gene Hackman, John Cazale, Allen Garfield"
"Joel Coen, Ethan Coen","George Clooney, John Turturro, Tim Blake Nelson"
Rob Reiner,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay"
Robert Zemeckis,"Bob Hoskins, Christopher Lloyd, Joanna Cassidy"
Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch"
Ted Kotcheff,"Sylvester Stallone, Brian Dennehy, Richard Crenna"
John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Tony Moran"
Lasse Hallström,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis"
J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana"
Alejandro Jodorowsky,"Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders"
Mel Brooks,"Cleavon Little, Gene Wilder, Slim Pickens"
James Foley,"Al Pacino, Jack Lemmon, Alec Baldwin"
"Phil Lord, Christopher Miller","Chris Pratt, Will Ferrell, Elizabeth Banks"
Satoshi Kon,"Megumi Hayashibara, Tôru Emori, Katsunosuke Hori"
Paul Greengrass,"Matt Damon, Franka Potente, Joan Allen"
Steven Spielberg,"Christian Bale, John Malkovich, Miranda Richardson"
Darius Marder,"Riz Ahmed, Olivia Cooke, Paul Raci"
Jaco Van Dormael,"Jared Leto, Sarah Polley, Diane Kruger"
Jon Avnet,"Kathy Bates, Jessica Tandy, Mary Stuart Masterson"
Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen"
Jonathan Demme,"Tom Hanks, Denzel Washington, Roberta Maxwell"
Stephen Daldry,"Jamie Bell, Julie Walters, Jean Heywood"
Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman"
Spike Jonze,"Nicolas Cage, Meryl Streep, Chris Cooper"
Aaron Sorkin,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen"
James L. Brooks,"Jack Nicholson, Helen Hunt, Greg Kinnear"
"Don Siegel, Clint Eastwood","Clint Eastwood, Andrew Robinson, Harry Guardino"
Spike Jonze,"John Cusack, Cameron Diaz, Catherine Keener"
Paolo Sorrentino,"Toni Servillo, Carlo Verdone, Sabrina Ferilli"
Tony Kaye,"Adrien Brody, Christina Hendricks, Marcia Gay Harden"
Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley"
Todd Solondz,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman"
Stephen Chow,"Stephen Chow, Wah Yuen, Qiu Yuen"
Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey"
Steven Spielberg,"Danny Glover, Whoopi Goldberg, Oprah Winfrey"
Paul McGuigan,"Josh Hartnett, Ben Kingsley, Morgan Freeman"
"Joel Coen, Ethan Coen","Gabriel Byrne, Albert Finney, John Turturro"
Sidney Lumet,"Al Pacino, John Randolph, Jack Kehoe"
Peter Yates,"Dennis Christopher, Dennis Quaid, Daniel Stern"
Terrence Malick,"Richard Gere, Brooke Adams, Sam Shepard"
Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan"
Robert Redford,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch"
Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard"
Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti"
William Friedkin,"Gene Hackman, Roy Scheider, Fernando Rey"
Shane Meadows,"Thomas Turgoose, Stephen Graham, Jo Hartley"
George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway"
"Michael Powell, Emeric Pressburger","Deborah Kerr, David Farrar, Flora Robson"
Paola Cortellesi,"Paola Cortellesi, Valerio Mastandrea, Romana Maggiora Vergano"
William Friedkin,"Roy Scheider, Bruno Cremer, Francisco Rabal"
Spike Lee,"Denzel Washington, Angela Bassett, Delroy Lindo"
Nuri Bilge Ceylan,"Deniz Celiloglu, Merve Dizdar, Musab Ekici"
Bernardo Bertolucci,"John Lone, Joan Chen, Peter O'Toole"
Travis Knight,"Charlize Theron, Art Parkinson, Matthew McConaughey"
Alejandro Amenábar,"Eduardo Noriega, Penélope Cruz, Chete Lera"
Terrence Malick,"Martin Sheen, Sissy Spacek, Warren Oates"
Colm Bairéad,"Carrie Crowley, Andrew Bennett, Catherine Clinch"
Louis Malle,"Andre Gregory, Wallace Shawn, Jean Lenauer"
Paul Verhoeven,"Carice van Houten, Sebastian Koch, Thom Hoffman"
Taylor Hackford,"Jamie Foxx, Regina King, Kerry Washington"
Sam Raimi,"Bruce Campbell, Sarah Berry, Dan Hicks"
Alfonso Gomez-Rejon,"Thomas Mann, RJ Cyler, Olivia Cooke"
Bong Joon Ho,"Kim Hye-ja, Won Bin, Jin Goo"
Kenneth Branagh,"Kenneth Branagh, Julie Christie, Derek Jacobi"
Lee Jeong-beom,"Won Bin, Kim Sae-ron, Kim Tae-hoon"
Prasanth Varma,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar"
Hannes Holm,"Rolf Lassgård, Bahar Pars, Filip Berg"
Jim Sheridan,"Paddy Considine, Samantha Morton, Djimon Hounsou"
John Huston,"Humphrey Bogart, Katharine Hepburn, Robert Morley"
Trey Parker,"Trey Parker, Matt Stone, Mary Kay Bergman"
John Huston,"Sean Connery, Michael Caine, Christopher Plummer"
"Ken Annakin, Andrew Marton, Gerd Oswald","John Wayne, Robert Ryan, Richard Burton"
Hayao Miyazaki,"Shûichirô Moriyama, Tokiko Katô, Bunshi Katsura VI"
Ken Russell,"Vanessa Redgrave, Oliver Reed, Dudley Sutton"
Marc Forster,"Johnny Depp, Kate Winslet, Julie Christie"
Robert Wise,"Michael Rennie, Patricia Neal, Hugh Marlowe"
Alexander Payne,"Bruce Dern, Will Forte, June Squibb"
Jack Clayton,"Deborah Kerr, Peter Wyngarde, Megs Jenkins"
Cary Joji Fukunaga,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitar"
Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg, Van Doude"
Peter Mullan,"Eileen Walsh, Dorothy Duffy, Nora-Jane Noone"
"Howard Hawks, Richard Rosson","Paul Muni, Ann Dvorak, Karen Morley"
"James Algar, Samuel Armstrong, Ford Beebe Jr.","Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra"
Florian Henckel von Donnersmarck,"Tom Schilling, Sebastian Koch, Paula Beer"
Wolfgang Becker,"Daniel Brühl, Katrin Sass, Chulpan Khamatova"
Cy Endfield,"Stanley Baker, Jack Hawkins, Ulla Jacobsson"
Peter Bogdanovich,"Barbra Streisand, Ryan O'Neal, Madeline Kahn"
John Ford,"John Wayne, Maureen O'Hara, Barry Fitzgerald"
Park Chan-wook,"Lee Yeong-ae, Lee Byung-hun, Song Kang-ho"
Morton DaCosta,"Robert Preston, Shirley Jones, Buddy Hackett"
Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave, Paul Lukas"
