Directors,Stars
Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo"
Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale"
Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
"Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny"
Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles"
Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey"
Kurt Kuenne,"Kurt Kuenne, Andrew Bagby, David Bagby"
Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman"
Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee"
Asif Kapadia,"Ayrton Senna, Reginaldo Leme, John Bisignano"
Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna"
Mstyslav Chernov,"Liudmyla Amelkina, Mstyslav Chernov, Roman Golovanov"
Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca"
Ron Fricke,Patrick Disanto
Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar"
Madhu C. Narayanan,"Shane Nigam, Soubin Shahir, Fahadh Faasil"
C. Prem Kumar,"Vijay Sethupathi, Trisha Krishnan, Adithya Bhaskar"
Jacques Becker,"André Bervil, Jean Keraudy, Michel Constantin"
Hasan Fathi,"Parsa Pirouzfar, Shahab Hosseini, Hande Erçel"
"Waad Al-Kateab, Edward Watts","Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab"
Hrishikesh Mukherjee,"Amol Palekar, Utpal Dutt, Bindiya Goswami"
Gowtam Tinnanuri,"Nani, Shraddha Srinath, Sathyaraj"
Pa. Ranjith,"Arya, Pasupathy, John Kokken"
Jayathirtha,"Dharmendra Aras, Agratha Ashok, Anand Babu"
Mani Ratnam,"Rajinikanth, Mammootty, Shobana"
Yann Arthus-Bertrand,"Yann Arthus-Bertrand, Glenn Close, Jacques Gamblin"
Atif Yilmaz,"Türkan Soray, Kadir Inanir, Ahmet Mekin"
Zeki Ökten,"Kemal Sunal, Sener Sen, Aysen Gruda"
Kartal Tibet,"Kemal Sunal, Nevra Serezli, Metin Serezli"
Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth"
"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo"
Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall"
Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman"
Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway"
James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn"
Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
Nithilan Saminathan,"Vijay Sethupathi, Anurag Kashyap, Mamta Mohandas"
"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld"
Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge"
Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch"
"Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin"
Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh"
Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim"
Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole"
Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton"
Kiran Rao,"Nitanshi Goel, Pratibha Ranta, Sparsh Shrivastava"
Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou"
C. Prem Kumar,"Arvind Swamy, Karthi, Sri Divya"
Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie"
Lokesh Kanagaraj,"Karthi, Narain, Arjun Das"
Ron Fricke,"Balinese Tari Legong Dancers, Ni Made Megahadi Pratiwi, Puti Sri Candra Dewi"
Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Kôji Mitsui"
"Juliano Ribeiro Salgado, Wim Wenders","Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado"
Louie Psihoyos,"Richard O'Barry, Louie Psihoyos, Hardy Jones"
Ivo Caprino,"Wenche Foss, Per Theodor Haugen, Harald Heide-Steen Jr."
Vetrimaaran,"Dhanush, Manju Warrier, Prakash Raj"
Anurag Kashyap,"Kay Kay Menon, Pawan Malhotra, Aditya Srivastav"
Kamal Tabrizi,"Parviz Parastui, Bahram Ebrahimi, Reza Saeedi"
Vetrimaaran,"Dhanush, Ameer Sultan, Radha Ravi"
Nae Caranfil,"Mircea Diaconu, Gheorghe Dinica, Mara Nicolescu"
Satyajit Ray,"Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty"
Jeethu Joseph,"Mohanlal, Meena, Ansiba"
"Masashi Koizuka, Tetsurô Araki","Yûki Kaji, Yui Ishikawa, Marina Inoue"
Vetrimaaran,"Dinesh, Samuthirakani, Anandhi"
Mohan Raja,"Ravi Mohan, Arvind Swamy, Nayanthara"
Leonid Gaidai,"Aleksandr Demyanenko, Mikhail Pugovkin, Aleksei Smirnov"
Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç"
Nag Ashwin,"Keerthy Suresh, Dulquer Salmaan, Samantha Ruth Prabhu"
Radivoje Andric,"Sergej Trifunovic, Marija Karan, Nebojsa Glogovac"
Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon"
Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan"
Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer"
Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly"
Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck"
Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson"
Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette"
Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch"
Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz"
Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius"
Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer"
Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester"
Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp"
Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern"
Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen"
Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher"
Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr."
John Lasseter,"Tom Hanks, Tim Allen, Don Rickles"
David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn"
George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw"
Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus"
Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack"
"Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger"
Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes"
Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich"
Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka"
Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden"
Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore"
Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray"
Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason"
"Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds"
Robert Mulligan,"Gregory Peck, John Megna, Frank Overton"
Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat"
Vetrimaaran,"Vijay Sethupathi, Manju Warrier, Soori"
Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori"
Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut"
Stanley Kramer,"Spencer Tracy, Burt Lancaster, Richard Widmark"
Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson"
"Aamir Khan, Amole Gupte","Darsheel Safary, Aamir Khan, Tisca Chopra"
Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell"
Ram Kumar,"Vishnu Vishal, Amala Paul, Radha Ravi"
Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh"
Vetrimaaran,"Soori, Vijay Sethupathi, Bhavani Sre"
Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil"
Mikhail Kalatozov,"Tatyana Samoylova, Aleksey Batalov, Vasiliy Merkurev"
Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt"
Dziga Vertov,"Mikhail Kaufman, Elizaveta Svilova"
Milorad Milinkovic,"Nikola Djuricko, Sonja Kolacaric, Tara Manic"
Dijo Jose Antony,"Prithviraj Sukumaran, Suraj Venjaramoodu, Mamta Mohandas"
"Jimmy Chin, Elizabeth Chai Vasarhelyi","Bancha Duriyapunt, Apakorn Youkongkaew, Anan Surawan"
Ram Gopal Varma,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar"
Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan"
Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu"
Nalan Kumarasamy,"Vijay Sethupathi, Sanchita Shetty, Radha Ravi"
Dileesh Pothan,"Fahadh Faasil, Aparna Balamurali, Soubin Shahir"
Yimou Zhang,"You Ge, Gong Li, Ben Niu"
Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur"
Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid"
Joshua Oppenheimer,"Adi Rukun, M.Y. Basrun, Volker Hanisch"
Akira Kurosawa,"Toshirô Mifune, Yûzô Kayama, Tsutomu Yamazaki"
Jude Anthany Joseph,"Tovino Thomas, Kunchacko Boban, Asif Ali"
Jeethu Joseph,"Mohanlal, Meena, Asha Sharath"
Steve James,"William Gates, Arthur Agee, Emma Gates"
Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma"
Masaki Kobayashi,"Toshirô Mifune, Yôko Tsukasa, Gô Katô"
Morgan Neville,"Fred Rogers, Margaret Whitmer, Tom Junod"
Anjali Menon,"Dulquer Salmaan, Nivin Pauly, Nazriya Nazim"
Leonid Gaidai,"Yuriy Nikulin, Nina Grebeshkova, Andrey Mironov"
Kenji Mizoguchi,"Kinuyo Tanaka, Yoshiaki Hanayagi, Kyôko Kagawa"
Alphonse Puthren,"Nivin Pauly, Sai Pallavi, Madonna Sebastian"
S. Shankar,"Vikram, Sada, Prakash Raj"
Leonid Gaidai,"Aleksandr Demyanenko, Natalya Varley, Vladimir Etush"
Kundan Shah,"Naseeruddin Shah, Ravi Baswani, Bhakti Barve"
Evgeny Afineevsky,"His Beatitude Sviatoslav, Said Ismagilov, Bishop Agapit"
Pawan Kumar,"Sathish Neenasam, Sruthi Hariharan, Achyuth Kumar"
Swaroop Rsj,"Naveen Polishetty, Shruti Sharma, Krishneswara Rao"
Nagraj Manjule,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh"
Suresh Krishna,"Rajinikanth, Nagma, Raghuvaran"
Béla Ternovszky,"Miklós Benedek, Gyula Bodrogi, Ilona Béres"
Aleksandr Seryy,"Evgeniy Leonov, Georgiy Vitsin, Saveliy Kramarov"
Arun Prabhu Purushothaman,"Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony"
Zeki Ökten,"Kemal Sunal, Sevda Ferdag, Bilge Zobu"
Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Amitabh Bachchan"
Jayprad Desai,"Shreyas Talpade, Ashish Vidyarthi, Parambrata Chattopadhyay"
Ertem Egilmez,"Kemal Sunal, Meral Zeren, Zeki Alasya"
Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft"
Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie"
Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller"
"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin"
Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch"
Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis"
Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum"
Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo"
Rajkumar Periasamy,"Sivakarthikeyan, Sai Pallavi, Bhuvan Arora"
Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe"
Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
Peter Weir,"Jim Carrey, Ed Harris, Laura Linney"
Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd"
Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham"
Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays"
John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia"
John Carpenter,"Kurt Russell, Wilford Brimley, Keith David"
Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates"
M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette"
Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah"
Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci"
Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody"
Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio"
Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly"
Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce"
Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman"
"Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould"
Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell"
Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss"
Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López"
Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon"
Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes"
Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago"
"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle"
"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar"
Benjamin Ree,"Jessica Carroll, Zoe Croft, Kelsey Ellison"
Chidambaram,"Soubin Shahir, Sreenath Bhasi, Balu Varghese"
John Sturges,"Steve McQueen, James Garner, Richard Attenborough"
Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
Sergio Leone,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè"
"Sergio Pablos, Carlos Martínez López","Jason Schwartzman, J.K. Simmons, Rashida Jones"
Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings"
Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders"
Haruo Sotozaki,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka"
Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu"
Prashanth Neel,"Yash, Sanjay Dutt, Raveena Tandon"
Prashanth Neel,"Yash, Srinidhi Shetty, Ramachandra Raju"
Mehmet Ada Öztekin,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal"
Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori"
Charles Ferguson,"Matt Damon, Gylfi Zoega, Andri Snær Magnason"
Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai"
Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton"
"Joshua Oppenheimer, Anonymous, Christine Cynn","Anwar Congo, Herman Koto, Syamsul Arifin"
Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte"
Majid Majidi,"Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi"
John Huston,"Humphrey Bogart, Walter Huston, Tim Holt"
Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol"
Rishab Shetty,"Rishab Shetty, Kishore Kumar G., Achyuth Kumar"
Béla Tarr,"Mihály Vig, Putyi Horváth, László feLugossy"
Abhishek Pathak,"Ajay Devgn, Akshaye Khanna, Tabu"
Luchino Visconti,"Alain Delon, Renato Salvatori, Annie Girardot"
S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty"
Elia Kazan,"Andy Griffith, Patricia Neal, Anthony Franciosa"
Peter Jackson,"Thomas Adlam, William Argent, John Ashby"
Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan"
Robert Bresson,"François Leterrier, Charles Le Clainche, Maurice Beerblock"
Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina"
Godfrey Reggio,"Edward Asner, Pat Benatar, Jerry Brown"
Malik Bendjelloul,"Rodriguez, Stephen 'Sugar' Segerman, Dennis Coffey"
Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia"
Akira Kurosawa,"Maksim Munzuk, Yuriy Solomin, Mikhail Bychkov"
Thiagarajan Kumararaja,"Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu"
Abbas Kiarostami,"Hossain Sabzian, Mohsen Makhmalbaf, Abolfazl Ahankhah"
Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra"
Moustapha Akkad,"Anthony Quinn, Oliver Reed, Rod Steiger"
Sukumar,"Ram Charan, Samantha Ruth Prabhu, Aadhi"
Edward Yang,"Chang Chen, Lisa Yang, Kuo-Chu Chang"
"Joe Berlinger, Bruce Sinofsky","Tony Brooks, Diana Davis, Terry Wood"
Can Ulkay,"Çetin Tekindor, Ismail Hacioglu, Lee Kyung-jin"
Alper Caglar,"Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe"
Jennie Livingston,"Brooke Xtravaganza, André Christian, Dorian Corey"
Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee"
Priyadarshan,"Akshay Kumar, Suniel Shetty, Paresh Rawal"
Dino Risi,"Vittorio Gassman, Catherine Spaak, Jean-Louis Trintignant"
Shouryuv,"Nani, Mrunal Thakur, Kiara Khanna"
Lee Joon-ik,"Lee Re, Sul Kyung-gu, Uhm Ji-won"
Rakeysh Omprakash Mehra,"Farhan Akhtar, Kousi Orfahli, Deepak Singh Rawat"
Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal"
Larisa Shepitko,"Boris Plotnikov, Vladimir Gostyukhin, Sergey Yakovlev"
Yasujirô Ozu,"Chishû Ryû, Setsuko Hara, Yumeji Tsukioka"
"Dibakar Banerjee, Pravin E. Birje","Anupam Kher, Boman Irani, Parvin Dabas"
Ava DuVernay,"Melina Abdullah, Michelle Alexander, Cory Booker"
Mikhail Kalatozov,"Sergio Corrieri, Salvador Wood, José Gallardo"
"Gayatri, Pushkar, Gowtham Selvaraj","Madhavan, Vijay Sethupathi, Shraddha Srinath"
Carl Theodor Dreyer,"Henrik Malberg, Emil Hass Christensen, Preben Lerdorff Rye"
Luis Buñuel,"Alfonso Mejía, Roberto Cobo, Estela Inda"
Vittorio De Sica,"Carlo Battisti, Maria Pia Casilio, Lina Gennari"
Saeed Roustayi,"Payman Maadi, Navid Mohammadzadeh, Parinaz Izadyar"
Fisher Stevens,"Leonardo DiCaprio, Ban Ki-moon, Alejandro G. Iñárritu"
Karthick Naren,"Rahman, Prakash Raghavan, Sharathkumar"
Leonid Gaidai,"Yuriy Yakovlev, Leonid Kuravlyov, Aleksandr Demyanenko"
