Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description
34,34. One Flew Over the Cuckoo's Nest,1975,8.7,133,1100000,R,84,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
35,35. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,1400000,PG,82,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
36,36. Jai Bhim,2021,8.7,164,223000,Approved,N/A,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
37,37. Kill Bill: The Whole Bloody Affair,2006,8.7,247,18000,Not Rated,N/A,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer."
38,38. Stop Making Sense,1984,8.7,88,22000,PG,94,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.
39,39. Shoah,1985,8.7,566,11000,Not Rated,99,Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.
40,40. Soorarai Pottru,2020,8.7,153,127000,N/A,N/A,"Inspired by the book 'Simply Fly', the film tells the story of Nedumaaran Rajangam known to friends as Maara, the son of a teacher, who sets out to make the common man fly and takes on the most capital intensive industry in the world with the help of his friends, family and sheer will power."
41,41. 777 Charlie,2022,8.7,164,43000,N/A,N/A,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
42,42. Toma,2021,8.7,140,13000,N/A,N/A,"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul."
43,43. Rocketry: The Nambi Effect,2022,8.7,157,60000,N/A,N/A,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994."
44,44. Nayakan,1987,8.7,145,26000,Not Rated,N/A,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll."
45,45. Pariyerum Perumal,2018,8.7,154,19000,N/A,N/A,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this."
46,"46. Saban, Son of Saban",1977,8.7,90,19000,N/A,N/A,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers Saban. After discharge from the army, Saban and his friend Ramazan work in a night club as member of the band. They ran again into Husamettin and his in laws, but things gets complicated when the diamond of the family is been stolen."
47,47. Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,8.7,138,17000,N/A,N/A,Tanjiro teams up with Zenitsu and Inosuke to investigate missing person cases on the mountain Natagumo. They slowly begin to realize the entire mountain is being controlled by a family of Demon spider creatures.
48,48. Who's Singin' Over There?,1980,8.7,86,17000,N/A,N/A,"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever."
49,49. Resurrection,2018,8.7,147,17000,Not Rated,N/A,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality."
50,"50. Feyzo, the Polite One",1978,8.7,83,18000,N/A,N/A,"A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has to pay a lot of money to the bride's father in order to get the bride's hand."
51,51. Manichithrathazhu,1993,8.7,169,13000,Not Rated,N/A,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed."
52,52. Happy Days,1978,8.7,95,12000,N/A,N/A,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.
53,53. The Chaos Class Is Waking Up,1976,8.7,94,21000,N/A,N/A,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.
54,54. Se7en,1995,8.6,127,1900000,R,65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
55,55. Saving Private Ryan,1998,8.6,169,1500000,R,91,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
56,56. The Silence of the Lambs,1991,8.6,118,1600000,R,86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
57,57. The Green Mile,1999,8.6,189,1500000,R,61,"Paul Edgecomb, the head death row guard at a prison in 1930s Louisiana, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift."
58,58. Star Wars: Episode IV - A New Hope,1977,8.6,121,1500000,PG,90,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
59,59. City of God,2002,8.6,130,827000,R,79,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
60,60. Terminator 2: Judgment Day,1991,8.6,137,1200000,R,75,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
61,61. Spirited Away,2001,8.6,124,892000,PG,96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
62,62. Life Is Beautiful,1997,8.6,116,767000,PG-13,58,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
63,63. It's a Wonderful Life,1946,8.6,130,522000,PG,89,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
64,64. Seven Samurai,1954,8.6,207,379000,Not Rated,98,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
65,65. Harakiri,1962,8.6,133,77000,Not Rated,85,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
66,66. Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,8.6,87,29000,N/A,N/A,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.
67,67. A Dog's Will,2000,8.6,104,18000,N/A,N/A,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people to survive, but their plans are halted when a bandit comes to town."
68,68. Earthlings,2005,8.6,95,20000,N/A,N/A,"Using hidden cameras and never-before-seen footage, Earthlings chronicles the day-to-day practices of the largest industries in the world, all of which rely entirely on animals for profit."
69,69. The Legend of Maula Jatt,2022,8.6,153,11000,N/A,N/A,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab."
70,70. Anbe Sivam,2003,8.6,160,26000,Not Rated,N/A,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate."
71,"71. Pretty Village, Pretty Flame",1996,8.6,115,18000,N/A,N/A,"During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature."
72,72. My Dear Brother,1973,8.6,86,11000,N/A,N/A,Two poor men try to find a television as a last wish for the terminally ill brother of one of them.
73,73. Daman,2022,8.6,121,14000,N/A,N/A,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication."
74,74. The Broken Landlord,1985,8.6,101,17000,N/A,N/A,The landlord of a village in eastern Turkey decides to sell his land after a severe drought and migrates to Istanbul with his family. However the struggle for survival in the 'big city' will not be easier for them.
75,75. The Chaos Class Is on Vacation,1977,8.6,97,19000,N/A,N/A,Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first but later they understand that female students are trouble as much as Hababam Sinifi and played with them so they decide to fight against that girls.
76,76. Gladiator,2000,8.5,155,1700000,R,67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
77,77. Dune: Part Two,2024,8.5,166,586000,PG-13,79,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
78,78. Parasite,2019,8.5,132,1000000,R,97,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
79,79. Alien,1979,8.5,117,1000000,R,89,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
80,80. The Prestige,2006,8.5,130,1500000,PG-13,66,Rival 19th-century magicians engage in a bitter battle for trade secrets.
81,81. The Departed,2006,8.5,151,1500000,R,85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
82,82. The Lion King,1994,8.5,88,1200000,G,88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
83,83. Léon: The Professional,1994,8.5,110,1300000,R,64,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
84,84. Whiplash,2014,8.5,106,1000000,R,89,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
85,85. The Usual Suspects,1995,8.5,106,1200000,R,76,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
86,86. Django Unchained,2012,8.5,165,1800000,R,81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
87,87. Back to the Future,1985,8.5,116,1400000,PG,87,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
88,88. Spider-Man: Across the Spider-Verse,2023,8.5,140,432000,PG,86,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
89,89. The Pianist,2002,8.5,150,952000,R,85,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
90,90. American History X,1998,8.5,119,1200000,R,62,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
91,91. Once Upon a Time in the West,1968,8.5,166,363000,PG-13,82,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
92,92. Grave of the Fireflies,1988,8.5,88,337000,Not Rated,94,A young boy and his little sister struggle to survive in Japan during World War II.
93,93. Casablanca,1942,8.5,102,624000,PG,100,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
94,94. The Intouchables,2011,8.5,112,964000,R,57,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
95,95. Psycho,1960,8.5,109,743000,R,97,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
96,96. Cinema Paradiso,1988,8.5,174,296000,PG,80,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
97,97. Rear Window,1954,8.5,112,540000,PG,100,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
98,98. Dear Zachary: A Letter to a Son About His Father,2008,8.5,95,42000,Not Rated,82,A filmmaker decides to memorialize a murdered friend when his friend's ex-girlfriend announces she is expecting his son.
99,99. Modern Times,1936,8.5,87,269000,G,96,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
100,100. City Lights,1931,8.5,87,204000,G,99,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
101,101. Senna,2010,8.5,106,80000,PG-13,79,"A documentary on Brazilian Formula One racing driver Ayrton Senna, who won the F1 world championship three times before his death at age 34."
102,102. Sita Ramam,2022,8.5,163,74000,N/A,N/A,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
103,103. 20 Days in Mariupol,2023,8.5,95,24000,TV-PG,83,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities."
104,104. The Best of Youth,2003,8.5,374,25000,R,89,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.
105,105. Baraka,1992,8.5,96,42000,Not Rated,N/A,A collection of expertly photographed scenes of human life and religion.
106,106. The Kashmir Files,2022,8.5,170,576000,Not Rated,N/A,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth."
107,107. Kumbalangi Nights,2019,8.5,135,19000,N/A,N/A,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love."
