Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description
1155,1155. The Servant,1963,7.8,116,15000,Unrated,94,"Upper-class Tony hires servant Hugo Barrett, who turns out to have a hidden agenda."
1156,1156. American Movie,1999,7.8,107,20000,R,84,Documentary about an aspiring filmmaker's attempts to finance his dream project by finally completing the low-budget horror film he abandoned years before.
1157,1157. Law of Tehran,2019,7.8,131,20000,N/A,N/A,"The police are after a drug lord named Naser Khakzad, but when they finally manage to catch him, he tries whatever he can think of to escape and save his family."
1158,1158. Vivre sa vie,1962,7.8,85,36000,Not Rated,N/A,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
1159,1159. The Spirit of the Beehive,1973,7.8,98,21000,Not Rated,87,"In 1940, after watching and being traumatized by the movie Frankenstein (1931), a sensitive seven-year-old girl living in a small Spanish village drifts into her own fantasy world."
1160,1160. The Game Changers,2018,7.8,86,22000,N/A,N/A,A UFC fighter's world is turned upside down when he discovers an elite group of world-renowned athletes and scientists who prove that everything he had been taught about protein was a lie.
1161,1161. Eat Drink Man Woman,1994,7.8,124,24000,Not Rated,80,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.
1162,1162. Embrace of the Serpent,2015,7.8,125,25000,Not Rated,82,"The story of the relationship between Karamakate, an Amazonian shaman and last survivor of his people, and two scientists who work together over the course of forty years to search the Amazon for a sacred healing plant."
1163,1163. The Postman,1994,7.8,108,40000,PG,81,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
1164,1164. Parking,2023,7.8,127,12000,N/A,N/A,An elderly man and a youngster who are tenants sharing two different floors of an individual house fight over a parking space.
1165,1165. Mr. Deeds Goes to Town,1936,7.8,115,24000,Approved,N/A,A unassuming greeting card poet from a small town in Vermont heads to New York City upon inheriting a massive fortune and is immediately hounded by those who wish to take advantage of him.
1166,1166. Knockin' on Heaven's Door,1997,7.8,87,35000,Not Rated,N/A,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
1167,1167. Hiroshima Mon Amour,1959,7.8,90,37000,Not Rated,N/A,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
1168,1168. Berserk: The Golden Age Arc III - The Advent,2013,7.8,110,12000,Not Rated,N/A,A year has passed since Guts parted ways with Griffith. The Band of the Hawk is plotting a rescue mission to save Griffith who is confined to prison.
1169,1169. Who Killed Captain Alex?,2010,7.8,64,11000,Not Rated,N/A,"Uganda's president gives Captain Alex an assignment to defeat the Tiger Mafia, but he gets killed in the process. Upon hearing the tragic news, his brother investigates to avenge Alex's death."
1170,1170. The Second Mother,2015,7.8,112,18000,R,82,"When the estranged daughter of a hard-working live-in housekeeper suddenly appears, the unspoken class barriers that exist within the home are thrown into disarray."
1171,1171. The Phantom of Liberty,1974,7.8,104,18000,R,N/A,A series of surreal sequences that critique morality and society in a stream of consciousness style.
1172,1172. Rockstar,2011,7.8,159,52000,Not Rated,N/A,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer."
1173,1173. My Life as a Zucchini,2016,7.8,70,31000,PG-13,85,"After losing his mother, a young boy is sent to an orphanage with other orphans his age where he begins to learn the meaning of trust and true love."
1174,1174. C.R.A.Z.Y.,2005,7.8,129,35000,Not Rated,81,"Zachary is confused about his sexuality and is in conflict with his Catholic upbringing which alienates his parents. Forcing himself to like girls, Zachary also has to cope with his older brothers, who don't make his life any easier."
1175,1175. My Night at Maud's,1969,7.8,105,15000,GP,N/A,"A devout Catholic man's rigid principles are challenged during a one-night stay with Maud, a divorced woman with an outsize personality."
1176,1176. Days of Wine and Roses,1962,7.8,117,14000,Approved,74,"An alcoholic marries a young woman and systematically addicts her to booze so that they can share his ""passion"" together."
1177,1177. Take Care of Maya,2023,7.8,103,11000,TV-14,64,"As a medical team tries to understand 10-year-old Maya Kowalski's rare illness, they begin to question her parents. Suddenly, Maya is in state custody, and her family is desperate to bring their daughter home."
1178,1178. Jiro Dreams of Sushi,2011,7.8,81,39000,PG,77,"A documentary on 85-year-old sushi master Jiro Ono, his renowned Tokyo restaurant, and his relationship with his son and eventual heir, Yoshikazu."
1179,1179. In This Corner (and Other Corners) of the World,2016,7.8,129,13000,PG-13,73,A spirited 18-year-old woman is married off to a man she barely knows as she combats the daily struggles of living in Hiroshima during World War II.
1180,1180. Mamma Roma,1962,7.8,110,11000,Not Rated,N/A,"An ex-prostitute reunites with her son, but an extortion scheme threatens her aspirations for a decent life."
1181,1181. Mimi,2021,7.8,132,44000,TV-14,N/A,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.
1182,1182. Stray Dog,1949,7.8,122,20000,Not Rated,N/A,"During a sweltering summer, a rookie homicide detective tries to track down his stolen Colt pistol."
1183,1183. Nanban,2012,7.8,188,17000,N/A,N/A,"10 years after leaving college, two best friends and their rival go on a search for their third friend, while finding out some truths along the way."
1184,1184. Ninotchka,1939,7.8,110,24000,Approved,N/A,A stern Soviet woman sent to Paris to supervise the sale of jewels seized from Russian nobles finds herself attracted to a man who represents everything she is supposed to detest.
1185,1185. Ernest & Celestine,2012,7.8,80,23000,PG,86,"The story of an unlikely friendship between a bear, Ernest, and a young mouse named Celestine."
1186,1186. Alice in the Cities,1974,7.8,113,14000,Not Rated,78,A German journalist is saddled with a nine-year-old girl after encountering her mother at a New York airport.
1187,1187. My Best Fiend,1999,7.8,95,13000,Not Rated,70,"The love-hate relationship between Werner Herzog and Klaus Kinski, the deep trust between the director and the actor, and their independently and simultaneously hatched plans to murder one another."
1188,1188. Birdman of Alcatraz,1962,7.8,147,20000,Approved,76,A surly convicted murderer held in permanent isolation redeems himself when he becomes a renowned bird expert.
1189,1189. The Bad and the Beautiful,1952,7.8,118,17000,Approved,86,"An unscrupulous movie producer uses an actress, a director and a writer to achieve success."
1190,1190. A Night at the Opera,1935,7.8,96,35000,Approved,N/A,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.
1191,1191. South Wind,2018,7.8,130,13000,N/A,N/A,A young member of an underground gang in Belgrade puts himself and his family in danger when he crosses a mafia leader who works for the chief of police.
1192,1192. Seven Chances,1925,7.8,56,12000,Passed,N/A,A man learns that he will inherit a fortune if he marries by 7PM that evening.
1193,1193. Burnt by the Sun,1994,7.8,135,17000,R,N/A,"In the USSR in 1936, shadows of Stalin's repressions fall on a famous, revolutionary hero. The accusations of him being a foreign spy are nonsense, and everyone knows that. However, a slow process of his downfall has already started."
1194,1194. Joji,2021,7.8,113,11000,N/A,N/A,"Joji, an engineering dropout and the youngest son of a rich family lives with his aspirations of becoming super wealthy. Driven by greed and blind ambition, he decides to execute his plans following an unexpected event in the family."
1195,1195. Oasis,2002,7.8,133,11000,N/A,79,An irresponsible and childish ex-con befriends a girl with cerebral palsy and develops a progressively stronger bond with her.
1196,1196. To the Forest of Firefly Lights,2011,7.8,45,23000,N/A,N/A,"Hotaru is rescued by a spirit when she gets lost in a forest as a child. The two become friends, despite the spirit revealing that he will disappear if he is ever touched by a human."
1197,1197. Before the Rain,1994,7.8,113,16000,Not Rated,N/A,Three interconnected stories of love under the threat of civil war in Macedonia and London.
1198,1198. Orpheus,1950,7.8,112,14000,Not Rated,N/A,A poet in love with Death follows his unhappy wife into the underworld.
1199,1199. Minnal Murali,2021,7.8,158,33000,TV-14,N/A,"A tailor gains special powers after being struck by lightning, but must take down an unexpected foe if he is to become the superhero his hometown needs."
1200,1200. Gimme Shelter,1970,7.8,91,13000,GP,85,"When three hundred thousand members of the Love Generation collided with a few dozen Hells Angels at San Francisco's Altamont Speedway, the bloody slash that transformed a decade's dreams into disillusionment was immortalized on this film."
1201,1201. Poetry,2010,7.8,139,14000,TV-PG,87,"A sixty-something woman, faced with the discovery of a heinous family crime and in the early stages of Alzheimer's disease, finds strength and purpose when she enrolls in a poetry class."
1202,1202. For Love and Honor,2007,7.8,140,25000,N/A,N/A,A retired former dangerous man battling Alzheimer's must fight a new generation of mafia boss for the girl his son loves.
1203,1203. Ghost in the Shell 2.0,2008,7.8,83,16000,TV-14,N/A,A hacker known as the Puppet Master is hunted by a female cyborg cop and her partner. This film is a revised version of Ghost in the Shell (1995).
1204,1204. My Hero Academia: Heroes Rising,2019,7.8,104,11000,PG-13,70,"A group of youths aspiring to become professional superheroes, fight in a world full of people with abilities, also known as quirks. Deku and his fellow classmates from Hero Academy face Nine, the strongest villain yet."
1205,1205. Germany Year Zero,1948,7.8,78,14000,Not Rated,N/A,A young German boy faces the problems of the tough life in the immediate post-WWII Berlin.
1206,1206. Steins;Gate: The Movie - Load Region of Déjà Vu,2013,7.8,90,10000,TV-14,N/A,"After the events of the anime, Rintarou begins to feel the repercussions of extensive time travel, and eventually completely fades from reality. Kurisu, being the only companion to remember him, now must find a way to bring him back."
1207,1207. The Fire Within,1963,7.8,108,11000,Not Rated,N/A,"Depressed Alain Leroy leaves the clinic where he was detoxified. He meets friends, acquaintances and women, trying to find a reason to continue living. Will this help him?"
1208,1208. Secret Superstar,2017,7.8,150,31000,Not Rated,N/A,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.
1209,1209. Faces Places,2017,7.8,94,14000,PG,94,Director Agnes Varda and photographer/muralist J.R. journey through rural France and form an unlikely friendship.
1210,"1210. Steamboat Bill, Jr.",1928,7.8,70,17000,Not Rated,N/A,The effete son of a cantankerous riverboat captain comes to join his father's crew.
1211,1211. Lakshya,2004,7.8,186,26000,Not Rated,N/A,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
1212,"1212. Food, Inc.",2008,7.8,94,53000,PG,80,An unflattering look inside America's corporate controlled food industry.
1213,1213. Fury,1936,7.8,92,14000,Approved,N/A,"When a wrongly-accused prisoner barely survives a lynch-mob attack and is presumed dead, he vindictively decides to fake his death and frame the mob for his supposed murder."
1214,1214. The Death of Mr. Lazarescu,2005,7.8,153,16000,R,87,"Mr. Lãzãrescu, a dying old man, is shuttled from hospital to hospital by a loyal paramedic as doctors refuse to operate and no one can agree on a diagnosis."
1215,1215. Good Morning,1959,7.8,94,12000,Not Rated,87,Two boys begin a silence strike to press their parents into buying them a television set.
1216,1216. Son of the Bride,2001,7.8,123,17000,R,68,"A dissatisfied 40-year-old, separated and without time for his own daughter and girlfriend must rethink his life when his father decides to marry his mother, who suffers from Alzheimer's disease, by church."
1217,1217. Oasis: Supersonic,2016,7.8,122,13000,R,71,Oasis's breakthrough years documented into a detailed depiction of the infamous brothers from Manchester forming the band in the early '90s leading up to the legendary performance at Knebworth.
1218,1218. Monsieur Verdoux,1947,7.8,124,20000,Approved,N/A,"A suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards."
1219,1219. The Beatles: Eight Days a Week - The Touring Years,2016,7.8,106,14000,Not Rated,72,"A compilation of found footage featuring music, interviews, and stories of The Beatles' 250 concerts from 1963 to 1966."
1220,1220. The Set-Up,1949,7.8,73,10000,Approved,N/A,"Expecting the usual loss, a boxing manager takes bribes from a betting gangster without telling his fighter."
1221,1221. The Dissident,2020,7.8,119,31000,PG-13,81,"When Washington Post journalist Jamal Khashoggi disappears in Istanbul, his fiancée and dissidents around the world piece together the clues to a murder and expose a global cover up."
1222,1222. Le Corbeau,1943,7.8,92,11000,Not Rated,N/A,"A French village doctor becomes the target of poison-pen letters sent to village leaders, accusing him of affairs and practicing abortion."
1223,1223. Nayak: The Real Hero,2001,7.8,187,18000,Not Rated,N/A,"A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue."
1224,1224. 24,2016,7.8,164,25000,N/A,N/A,"A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son."
1225,1225. Life Itself,2014,7.8,121,16000,R,87,"The life and career of the renowned film critic and social commentator, Roger Ebert."
1226,1226. Kai Po Che,2013,7.8,120,39000,Not Rated,40,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
1227,1227. English Vinglish,2012,7.8,134,40000,Not Rated,N/A,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
1228,1228. Simon of the Desert,1965,7.8,45,11000,Not Rated,N/A,"Simon, a deeply religious man living in the 4th century, wants to be nearer to God so he climbs a column. The Devil wants him to come down to Earth and is trying to seduce him."
1229,1229. Monty Python Live at the Hollywood Bowl,1982,7.8,81,16000,R,N/A,The Monty Python troupe perform a combination of classic sketches and new material at the Hollywood Bowl.
1230,1230. Sound City,2013,7.8,107,14000,Not Rated,76,"A documentary on the fabled recording studio that was located in Van Nuys, California."
1231,1231. The Island,2006,7.8,112,13000,PG-13,N/A,"Somewhere in Northern Russia in a small Russian Orthodox monastery lives an unusual man whose bizarre conduct confuses his fellow monks, while others who visit the island believe that the man has the power to heal, exorcise demons and foretell the future."
1232,1232. Goodachari,2018,7.8,147,12000,N/A,N/A,"A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent."
1233,1233. Mother India,1957,7.8,172,10000,Not Rated,53,"In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, she always sticks to her own moral code."
1234,1234. Lovelorn,2005,7.8,142,11000,N/A,N/A,A single mother with a child meets a retired teacher who tries to keep pace with his new life and to protect them from her ex-husband.
1235,1235. Gangaajal,2003,7.8,157,18000,N/A,N/A,"An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician."
1236,1236. Wicked,2024,7.7,160,111000,PG,73,"Elphaba, a misunderstood young woman because of her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads."
1237,1237. Better Man,2024,7.7,135,10000,R,77,"The meteoric rise, dramatic fall, and remarkable resurgence of British pop superstar Robbie Williams."
1238,1238. A Complete Unknown,2024,7.7,141,17000,R,71,"New York, 1961. An unknown 19-year-old named Bob Dylan arrives with his revolutionary talent. He forges relationships with music icons of Greenwich Village on his meteoric rise, culminating in a performance that reverberates worldwide."
1239,1239. Blue Velvet,1986,7.7,120,225000,R,75,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
1240,1240. Harry Potter and the Sorcerer's Stone,2001,7.7,152,892000,PG,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
1241,1241. Wallace & Gromit: Vengeance Most Fowl,2024,7.7,82,23000,PG,83,Top dog Gromit springs into action to save his master when Wallace's high-tech invention goes rogue and he's framed for a series of suspicious crimes.
1242,1242. The Goonies,1985,7.7,114,309000,PG,62,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
1243,1243. Wind River,2017,7.7,107,292000,R,73,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets."
1244,1244. Kingsman: The Secret Service,2014,7.7,129,743000,R,60,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
1245,1245. Mission: Impossible - Dead Reckoning Part One,2023,7.7,163,274000,PG-13,81,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
1246,1246. Harry Potter and the Goblet of Fire,2005,7.7,157,708000,PG-13,81,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
1247,1247. Sicario,2015,7.7,121,498000,R,82,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
1248,1248. Airplane!,1980,7.7,88,270000,PG,78,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers."
1249,1249. Y tu mamá también,2001,7.7,106,132000,N/A,89,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other."
1250,1250. Zodiac,2007,7.7,157,626000,R,79,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
1251,1251. Home Alone,1990,7.7,103,689000,PG,63,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve."
1252,1252. The Vanishing,1988,7.7,107,49000,Not Rated,N/A,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
1253,1253. The Count of Monte Cristo,2002,7.7,131,153000,PG-13,61,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
1254,1254. The Magnificent Seven,1960,7.7,128,106000,Approved,74,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
1255,1255. The Hangover,2009,7.7,100,874000,R,73,Three buddies wake up from a bachelor party in Las Vegas with no memory of the previous night and the bachelor missing. They must make their way around the city in order to find their friend in time for his wedding.
1256,1256. Blue Is the Warmest Colour,2013,7.7,180,167000,NC-17,90,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
1257,1257. Harry Potter and the Deathly Hallows: Part 1,2010,7.7,146,623000,PG-13,65,"Harry Potter is tasked with the dangerous and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes. Harry must rely on Ron and Hermione more than ever, but dark forces threaten to tear them apart."
1258,1258. The Game,1997,7.7,129,446000,R,63,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
1259,1259. Apollo 13,1995,7.7,140,323000,PG,78,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
1260,1260. Silver Linings Playbook,2012,7.7,122,755000,R,81,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
1261,1261. Ocean's Eleven,2001,7.7,116,638000,PG-13,74,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event."
1262,1262. The Banshees of Inisherin,2022,7.7,114,272000,R,87,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
1263,1263. 500 Days of Summer,2009,7.7,95,581000,PG-13,76,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
1264,1264. Black Hawk Down,2001,7.7,144,434000,R,74,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
1265,1265. The Dirty Dozen,1967,7.7,150,81000,Approved,73,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
1266,1266. A Few Good Men,1992,7.7,138,298000,R,62,A military lawyer is tasked with defending two US Marines charged with murdering a fellow Marine and intends to prove they were only following their base commander's orders.
1267,1267. Primal Fear,1996,7.7,129,256000,R,47,"The murder of a high and mighty archbishop leads to the involvement of Martin Vail, Chicago's best attorney. As he studies the suspects, he becomes convinced of certain aspects, but there's more to the story than meets the eye."
1268,1268. Ex Machina,2014,7.7,108,611000,R,78,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
1269,1269. Brokeback Mountain,2005,7.7,134,397000,R,87,"Two shepherds fall for each other, but their relationship becomes complicated when they both get married to their respective girlfriends."
1270,1270. Taken,2008,7.7,90,649000,PG-13,51,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
1271,1271. Godzilla Minus One,2023,7.7,124,163000,PG-13,81,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
1272,1272. Mission: Impossible - Fallout,2018,7.7,147,390000,PG-13,87,"A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage."
1273,1273. Captain America: The Winter Soldier,2014,7.7,136,922000,PG-13,70,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
1274,1274. The Boy in the Striped Pajamas,2008,7.7,94,257000,PG-13,55,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
1275,1275. Tangled,2010,7.7,100,513000,PG,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
1276,1276. Gattaca,1997,7.7,106,333000,PG-13,64,"Vincent, an ""In-Valid"", assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation. However, a week before his mission, a murder marks Vincent as a suspect."
1277,1277. Crash,2004,7.7,112,453000,R,66,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
1278,1278. The Worst Person in the World,2021,7.7,128,108000,R,91,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
1279,1279. The Promised Land,2023,7.7,127,30000,R,77,"The story of Danish soldier and explorer Ludvig Kahlen, who explored and cultivated Denmark's wild Jutland, which now comprises the vast majority of the country, in the mid-18th century."
1280,1280. X-Men: First Class,2011,7.7,131,741000,PG-13,65,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
1281,1281. Lost in Translation,2003,7.7,102,506000,R,91,A fading movie star falls for a lonely young woman in Tokyo.
1282,1282. Sense and Sensibility,1995,7.7,136,130000,PG,84,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites."
1283,1283. The Name of the Rose,1986,7.7,130,121000,R,54,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
1284,1284. Another Round,2020,7.7,117,208000,Not Rated,79,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
1285,1285. Man on Fire,2004,7.7,146,400000,R,47,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
1286,1286. Road to Perdition,2002,7.7,117,291000,R,72,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
1287,1287. When Harry Met Sally...,1989,7.7,95,252000,R,76,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
1288,1288. Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,119,678000,R,87,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
1289,1289. Gravity,2013,7.7,91,877000,PG-13,96,"Dr Ryan Stone, an engineer on her first space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking."
1290,1290. Naked,1993,7.7,131,46000,Not Rated,85,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
1291,1291. The Theory of Everything,2014,7.7,123,492000,PG-13,71,Stephen Hawking gets unprecedented success in the field of physics despite being diagnosed with motor neuron disease at the age of 21. He defeats awful odds as his first wife Jane aids him loyally.
1292,1292. Mulan,1998,7.7,87,327000,G,72,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
1293,1293. Argo,2012,7.7,120,649000,R,86,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
1294,1294. The Conversation,1974,7.7,113,127000,PG,88,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
1295,"1295. O Brother, Where Art Thou?",2000,7.7,107,339000,PG-13,69,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
1296,1296. Flipped,2010,7.7,90,101000,PG,45,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider."
1297,1297. Who Framed Roger Rabbit,1988,7.7,104,223000,PG,83,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence."
1298,1298. Wreck-It Ralph,2012,7.7,101,474000,PG,72,Ralph is tired of playing the role of a bad guy and embarks on a journey to become a video game hero. But he accidentally lets loose a deadly enemy that threatens the entire arcade.
1299,1299. First Blood,1982,7.7,93,285000,R,61,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
1300,1300. Halloween,1978,7.7,91,320000,R,90,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again."
1301,1301. What's Eating Gilbert Grape,1993,7.7,118,260000,PG-13,73,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
1302,1302. Star Trek Into Darkness,2013,7.7,132,502000,PG-13,72,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
1303,1303. The Holy Mountain,1973,7.7,114,50000,R,76,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment."
1304,1304. Blazing Saddles,1974,7.7,93,157000,R,73,"In order to ruin a western town and steal their land, a corrupt politician appoints a black sheriff, who promptly becomes his most formidable adversary."
1305,1305. Glengarry Glen Ross,1992,7.7,100,120000,R,84,An examination of the machinations behind the scenes at a real estate office.
1306,1306. The Lego Movie,2014,7.7,100,398000,PG,83,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
1307,1307. Paprika,2006,7.7,90,102000,R,81,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
1308,1308. The Bourne Supremacy,2004,7.7,108,496000,PG-13,73,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
1309,1309. Empire of the Sun,1987,7.7,153,137000,PG,62,A young English boy struggles to survive under Japanese occupation of China during World War II.
1310,1310. Sound of Metal,2019,7.7,120,157000,R,82,"During a series of adrenaline-fueled gigs, itinerant punk-metal drummer Ruben begins to experience hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career - and with it his life - is over."
1311,1311. Mr. Nobody,2009,7.7,141,250000,R,63,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
1312,1312. Fried Green Tomatoes,1991,7.7,130,87000,PG-13,64,"Evelyn, an ordinary housewife, visits a nursing home and befriends the old lady Ninny. Together, they bond over stories from the past about two intrepid women of Whistle Stop Cafe."
1313,1313. Donnie Brasco,1997,7.7,127,341000,R,77,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.
1314,1314. Philadelphia,1993,7.7,125,264000,PG-13,66,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small-time lawyer as the only willing advocate for a wrongful dismissal suit."
