Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore
108,96,2018,8.5,158,40000,2018,N/A
109,The Hole,1960,8.5,131,21000,1960,N/A
110,Intoxicated by Love,2024,8.5,118,10000,2024,N/A
111,For Sama,2019,8.5,100,13000,2019,N/A
112,Gol Maal,1979,8.5,120,21000,1979,N/A
113,Jersey,2019,8.5,157,24000,2019,N/A
114,Sarpatta Parambarai,2021,8.5,173,26000,2021,N/A
115,Kaiva,2023,8.5,138,69000,2023,N/A
116,Thalapathi,1991,8.5,157,14000,1991,N/A
117,Home,2009,8.5,118,23000,2009,N/A
118,The Girl with the Red Scarf,1977,8.5,90,17000,1977,N/A
119,The King of the Street Cleaners,1977,8.5,80,22000,1977,N/A
120,Zübük,1980,8.5,88,12000,1980,N/A
121,Inglourious Basterds,2009,8.4,153,1700000,2009,N/A
122,Avengers: Endgame,2019,8.4,181,1300000,2019,N/A
123,Memento,2000,8.4,113,1400000,2000,N/A
124,Apocalypse Now,1979,8.4,147,733000,1979,N/A
125,Raiders of the Lost Ark,1981,8.4,115,1100000,1981,N/A
126,The Dark Knight Rises,2012,8.4,164,1900000,2012,N/A
127,Aliens,1986,8.4,137,800000,1986,N/A
128,The Shining,1980,8.4,146,1200000,1980,N/A
129,Avengers: Infinity War,2018,8.4,149,1300000,2018,N/A
130,Maharaja,2024,8.4,141,62000,2024,N/A
131,Spider-Man: Into the Spider-Verse,2018,8.4,117,713000,2018,N/A
132,Amadeus,1984,8.4,160,443000,1984,N/A
133,Your Name.,2016,8.4,106,345000,2016,N/A
134,The Lives of Others,2006,8.4,137,423000,2006,N/A
135,Coco,2017,8.4,105,634000,2017,N/A
136,WALL·E,2008,8.4,98,1200000,2008,N/A
137,3 Idiots,2009,8.4,170,451000,2009,N/A
138,Das Boot,1981,8.4,149,275000,1981,N/A
139,Sunset Boulevard,1950,8.4,110,246000,1950,N/A
140,Capernaum,2018,8.4,126,113000,2018,N/A
141,Witness for the Prosecution,1957,8.4,116,146000,1957,N/A
142,Lost Ladies,2023,8.4,122,48000,2023,N/A
143,Paths of Glory,1957,8.4,88,223000,1957,N/A
144,Meiyazhagan,2024,8.4,177,12000,2024,N/A
145,High and Low,1963,8.4,143,58000,1963,N/A
146,The Great Dictator,1940,8.4,125,246000,1940,N/A
147,Kaithi,2019,8.4,145,46000,2019,N/A
148,Samsara,2011,8.4,102,39000,2011,N/A
149,Woman in the Dunes,1964,8.4,147,24000,1964,N/A
150,The Salt of the Earth,2014,8.4,110,24000,2014,N/A
