Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3,KMeans Cluster,Agglomerative Cluster
Star Wars: Episode V - The Empire Strikes Back,0.5925925925925917,0.6842105263157889,0.1299212598425197,0.4648829431438127,U,0.75,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Yûichirô Hayashi,Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue,Animation, Action, Drama,0,2
Shoah,0.6388888888888893,0.6842105263157889,1.0,0.0003344481605351,PG,0.9861111111111112,Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.,"Ram Mohan, Yûgô Sakô, Koichi Saski",Arun Govil, Nikhil Kapoor, Edie Mirman,Animation, Action, Adventure,0,2
Stop Making Sense,0.6296296296296298,0.6842105263157889,0.0590551181102362,0.0040133779264214,PG,0.9166666666666669,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,Sidney Lumet,Henry Fonda, Lee J. Cobb, Martin Balsam,Crime, Drama,,0,2
Seven,0.731481481481481,0.6315789473684208,0.1358267716535433,0.6321070234113713,18,0.5138888888888888,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Quentin Tarantino,John Travolta, Uma Thurman, Samuel L. Jackson,Crime, Drama,,0,2
The Silence of the Lambs,0.6944444444444429,0.6315789473684208,0.1181102362204724,0.5317725752508361,18,0.8055555555555556,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Peter Jackson,Elijah Wood, Ian McKellen, Orlando Bloom,Adventure, Drama, Fantasy,0,2
The Green Mile,0.768518518518519,0.6315789473684208,0.2578740157480315,0.4983277591973244,18,0.4583333333333333,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,Ezra Edelman,Willie Brown, Harry Edwards, John McKay,Documentary, Biography, Crime,0,2
Saving Private Ryan,0.7592592592592595,0.6315789473684208,0.218503937007874,0.5317725752508361,15,0.875,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Moustapha Akkad,Abdallah Gheith, Mona Wassef, Hamdy Gheith,Action, Adventure, Biography,0,2
City of God,0.7962962962962941,0.6315789473684208,0.1417322834645669,0.2739130434782609,18,0.7083333333333333,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Amitabh Reza Chowdhury,Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua,Crime, Mystery, Thriller,0,2
Star Wars: Episode IV - A New Hope,0.5648148148148131,0.6315789473684208,0.124015748031496,0.4983277591973244,U,0.8611111111111112,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Kartal Tibet,Kemal Sunal, Müjde Ar, Adile Nasit,Comedy, History,,0,2
Terminator 2: Judgment Day,0.6944444444444429,0.6315789473684208,0.155511811023622,0.3979933110367893,15,0.6527777777777777,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",Walter Salles,Fernanda Torres, Fernanda Montenegro, Selton Mello,Biography, Drama, History,0,2
Spirited Away,0.7870370370370345,0.6315789473684208,0.1299212598425197,0.2959866220735786,PG,0.9444444444444444,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",Christopher Nolan,Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page,Action, Adventure, Sci-Fi,0,2
Life Is Beautiful,0.75,0.6315789473684208,0.1141732283464566,0.2538461538461538,PG,0.4166666666666666,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",David Fincher,Brad Pitt, Edward Norton, Meat Loaf,Drama,,,0,2
It's a Wonderful Life,0.2777777777777785,0.6315789473684208,0.1417322834645669,0.171571906354515,U,0.8472222222222221,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Robert Zemeckis,Tom Hanks, Robin Wright, Gary Sinise,Drama, Romance,,0,2
Seven Samurai,0.3518518518518512,0.6315789473684208,0.2933070866141732,0.1237458193979933,PG,0.972222222222222,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Sergio Leone,Clint Eastwood, Eli Wallach, Lee Van Cleef,Adventure, Drama, Western,0,2
Harakiri,0.4259259259259238,0.6315789473684208,0.1476377952755905,0.0224080267558528,X,0.7916666666666667,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Peter Jackson,Elijah Wood, Ian McKellen, Viggo Mortensen,Adventure, Drama, Fantasy,0,2
Gladiator,0.7777777777777786,0.5789473684210527,0.1909448818897638,0.5652173913043479,15,0.5416666666666666,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Irvin Kershner,Mark Hamill, Harrison Ford, Carrie Fisher,Action, Adventure, Fantasy,0,2
Dune: Part Two,1.0,0.5789473684210527,0.2125984251968503,0.1963210702341137,12A,0.7083333333333333,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.",T.J. Gnanavel,Suriya, Lijo Mol Jose, Manikandan K.,Crime, Drama,,0,2
Parasite,0.9537037037037024,0.5789473684210527,0.1456692913385826,0.3311036789297659,15,0.9583333333333331,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Quentin Tarantino,Uma Thurman, Lucy Liu, Vivica A. Fox,Action, Crime, Thriller,0,2
The Departed,0.8333333333333321,0.5789473684210527,0.1830708661417322,0.4983277591973244,18,0.7916666666666667,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Claude Lanzmann,Simon Srebnik, Michael Podchlebnik, Motke Zaïdl,Documentary, History, War,0,2
The Prestige,0.8333333333333321,0.5789473684210527,0.1417322834645669,0.4983277591973244,12A,0.5277777777777778,Rival 19th-century magicians engage in a bitter battle for trade secrets.,Jonathan Demme,David Byrne, Bernie Worrell, Alex Weir,Documentary, Music,,0,2
Django Unchained,0.8888888888888893,0.5789473684210527,0.2106299212598425,0.5986622073578596,18,0.7361111111111112,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",Madhavan,Madhavan, Simran, Rajit Kapoor,Biography, Drama,,0,2
Alien,0.5833333333333321,0.5789473684210527,0.1161417322834645,0.3311036789297659,X,0.8472222222222221,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",Kiranraj K,Rakshit Shetty, Charlie, Sangeetha Sringeri,Adventure, Comedy, Drama,0,2
Whiplash,0.9074074074074084,0.5789473684210527,0.0944881889763779,0.3645484949832776,15,0.8472222222222221,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Sudha Kongara,Suriya, Aparna Balamurali, Paresh Rawal,Drama,,,0,2
The Usual Suspects,0.731481481481481,0.5789473684210527,0.0944881889763779,0.3979933110367893,18,0.6666666666666667,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Slobodan Sijan,Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic,Adventure, Comedy, Drama,0,2
Back to the Future,0.6388888888888893,0.5789473684210527,0.1141732283464566,0.4648829431438127,PG,0.8194444444444444,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Dragan Bjelogrlic, Zoran Lisinac",Milan Maric, Tamara Dragicevic, Petar Bencina,Biography, Drama, Music,0,2
Leon,0.7222222222222214,0.5789473684210527,0.1023622047244094,0.431438127090301,18,0.5,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Ertem Egilmez,Kemal Sunal, Halit Akçatepe, Sener Sen,Comedy, History,,0,2
The Pianist,0.7962962962962941,0.5789473684210527,0.1811023622047244,0.3160535117056856,15,0.7916666666666667,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",Mari Selvaraj,Kathir, Anandhi, Yogi Babu,Drama,,,0,2
The Lion King,0.7222222222222214,0.5789473684210527,0.0590551181102362,0.3979933110367893,U,0.8333333333333333,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Fazil,Mohanlal, Shobana, Suresh Gopi,Comedy, Horror, Mystery,0,2
