Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3,KMeans Cluster,Agglomerative Cluster
Song of the Sea,0.9074074074074084,0.3157894736842102,0.0688976377952756,0.0183946488294314,PG,0.7916666666666667,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Rob Reiner,Cary Elwes, Mandy Patinkin, Robin Wright,Adventure, Comedy, Family,1,0
The Diving Bell and the Butterfly,0.8425925925925917,0.3157894736842102,0.1062992125984252,0.0337792642140468,12,0.8888888888888888,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Venky Atluri,Dulquer Salmaan, Meenaakshi Chaudhary, Tinnu Anand,Crime, Drama, Thriller,1,0
Winter Sleep,0.9074074074074084,0.3157894736842102,0.2716535433070866,0.0157190635451505,15,0.8333333333333333,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,James Gunn,Chris Pratt, Vin Diesel, Bradley Cooper,Action, Adventure, Comedy,1,0
Love Exposure,0.8518518518518512,0.3157894736842102,0.3523622047244095,0.0023411371237458,18,0.6944444444444444,"A bizarre love triangle forms between a young Catholic upskirt photographer, a misandric girl and a manipulative cultist.",Richard Kelly,Jake Gyllenhaal, Jena Malone, Mary McDonnell,Drama, Mystery, Sci-Fi,1,0
Brief Encounter,0.268518518518519,0.3157894736842102,0.0551181102362204,0.0120401337792642,PG,0.8888888888888888,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",Spike Jonze,Joaquin Phoenix, Amy Adams, Scarlett Johansson,Drama, Romance, Sci-Fi,1,0
Sweet Smell of Success,0.3796296296296297,0.3157894736842102,0.0748031496062992,0.0090301003344481,PG,1.0,A powerful Broadway columnist coerces an unscrupulous press agent into breaking up his sister's romance with a jazz musician.,David Lynch,Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz,Biography, Drama,,1,0
The Wild Pear Tree,0.9444444444444428,0.3157894736842102,0.2559055118110236,0.0063545150501672,15,0.8055555555555556,"An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling.",Ridley Scott,Matt Damon, Jessica Chastain, Kristen Wiig,Adventure, Drama, Sci-Fi,1,0
"Quo Vadis, Aida?",0.962962962962962,0.3157894736842102,0.0846456692913386,0.0100334448160535,15,0.9583333333333331,"Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp.","Frank Miller, Quentin Tarantino, Robert Rodriguez",Mickey Rourke, Clive Owen, Bruce Willis,Crime, Thriller,,1,0
Persepolis,0.8425925925925917,0.3157894736842102,0.0748031496062992,0.0307692307692307,12A,0.8611111111111112,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Joss Whedon,Robert Downey Jr., Chris Evans, Scarlett Johansson,Action, Sci-Fi,,1,0
The Shop Around the Corner,0.2222222222222214,0.3157894736842102,0.0807086614173228,0.0103678929765886,PG,0.9444444444444444,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Tim Miller,Ryan Reynolds, Morena Baccarin, T.J. Miller,Action, Comedy,,1,0
The Hidden Fortress,0.3888888888888893,0.3157894736842102,0.1594488188976378,0.0113712374581939,PG,0.8472222222222221,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.","Byron Howard, Rich Moore, Jared Bush",Ginnifer Goodwin, Jason Bateman, Idris Elba,Animation, Action, Adventure,1,0
Evangelion: 3.0+1.01 Thrice Upon a Time,0.9722222222222214,0.3157894736842102,0.1909448818897638,0.0020066889632107,15,0.7916666666666667,"Misato and her anti-NERV group WILLE arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.",Brad Bird,Craig T. Nelson, Samuel L. Jackson, Holly Hunter,Animation, Action, Adventure,1,0
Fail Safe,0.4444444444444428,0.3157894736842102,0.1062992125984252,0.0053511705685618,PG,0.6527777777777777,A technical malfunction sends American bombers to Moscow to deliver a nuclear attack. Can all-out war be averted?,"Gary Trousdale, Kirk Wise",Paige O'Hara, Robby Benson, Jesse Corti,Animation, Family, Fantasy,1,0
The Sea Inside,0.8148148148148131,0.3157894736842102,0.1338582677165354,0.025752508361204,PG,0.6388888888888888,"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die.",Morten Tyldum,Benedict Cumberbatch, Keira Knightley, Matthew Goode,Biography, Drama, Thriller,1,0
Bowling for Columbine,0.7962962962962941,0.3157894736842102,0.1220472440944882,0.0468227424749163,15,0.6111111111111112,Filmmaker Michael Moore explores the roots of America's predilection for gun violence.,Kevin Costner,Kevin Costner, Mary McDonnell, Graham Greene,Adventure, Drama, Western,2,0
Au Revoir les Enfants,0.6574074074074083,0.3157894736842102,0.0905511811023622,0.0090301003344481,PG,0.8333333333333333,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond.",Sian Heder,Emilia Jones, Marlee Matlin, Troy Kotsur,Comedy, Drama, Music,1,0
Taylor Swift: The Eras Tour,0.9907407407407404,0.3157894736842102,0.218503937007874,0.0046822742474916,12A,0.75,"Experience the Eras Tour concert, performed by the one and only Taylor Swift.",Gabriele Muccino,Will Smith, Thandiwe Newton, Jaden Smith,Biography, Drama,,1,0
Departures,0.8518518518518512,0.3157894736842102,0.1417322834645669,0.0153846153846153,12A,0.5555555555555556,"Soon after buying an expensive cello, Daigo learns that his orchestra is disbanding. He moves back to his hometown with his wife, where he answers an ad for what Daigo thinks is a travel agency but is, in actuality, a mortuary.",Satoshi Kon,Junko Iwao, Rica Matsumoto, Shinpachi Tsuji,Animation, Crime, Drama,2,0
Elite Squad 2: The Enemy Within,0.8703703703703702,0.3157894736842102,0.1122047244094488,0.0264214046822742,18,0.5972222222222222,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",Pat Boonnitipat,Putthipong Assaratanakul, Usha Seamkhum, Sanya Kunakorn,Comedy, Drama, Family,2,0
A Raisin in the Sun,0.4166666666666643,0.3157894736842102,0.1377952755905512,0.0,PG,0.8194444444444444,A substantial insurance payment could mean either financial salvation or personal ruin for a poor black family.,"Danny Boyle, Loveleen Tandan",Dev Patel, Freida Pinto, Saurabh Shukla,Crime, Drama, Romance,1,0
Jodorowsky's Dune,0.8981481481481488,0.3157894736842102,0.0629921259842519,0.0063545150501672,12A,0.7083333333333333,The story of cult film director Alejandro Jodorowsky's ambitious but ultimately doomed film adaptation of the seminal science fiction novel.,Mel Brooks,Gene Wilder, Madeline Kahn, Marty Feldman,Comedy,,,1,0
Crumb,0.7222222222222214,0.3157894736842102,0.1200787401574803,0.0040133779264214,18,0.9027777777777776,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,Tim Burton,Ewan McGregor, Albert Finney, Billy Crudup,Adventure, Drama, Fantasy,1,0
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",0.9722222222222214,0.3157894736842102,0.1181102362204724,0.0013377926421404,12A,0.9444444444444444,Documentary about the legendary 1969 Harlem Cultural Festival which celebrated African-American music and culture and promoted Black pride and unity.,Roman Polanski,Mia Farrow, John Cassavetes, Ruth Gordon,Drama, Horror,,1,0
Sanjuro,0.4259259259259238,0.3157894736842102,0.0748031496062992,0.0107023411371237,PG,0.7638888888888888,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Andrei Tarkovsky,Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn,Drama, Sci-Fi,,1,0
Werckmeister Harmonies,0.7777777777777786,0.3157894736842102,0.171259842519685,0.0023411371237458,12A,0.9027777777777776,A naive young man witnesses an escalation of violence in his small hometown following the arrival of a mysterious circus attraction.,George Roy Hill,Paul Newman, Robert Redford, Katharine Ross,Biography, Crime, Drama,1,0
Waltz with Bashir,0.8518518518518512,0.3157894736842102,0.0629921259842519,0.0170568561872909,18,0.875,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.,Billy Bob Thornton,Billy Bob Thornton, Dwight Yoakam, J.T. Walsh,Drama,,,1,0
Limelight,0.3333333333333321,0.3157894736842102,0.155511811023622,0.0043478260869565,U,0.7777777777777777,A fading comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.,Paul Greengrass,Matt Damon, Edgar Ramírez, Joan Allen,Action, Mystery, Thriller,1,0
Citizenfour,0.9074074074074084,0.3157894736842102,0.1102362204724409,0.0163879598662207,15,0.8333333333333333,A documentarian and a reporter travel to Hong Kong for the first of many meetings with Edward Snowden.,Katsuhiro Ôtomo,Mitsuo Iwata, Nozomu Sasaki, Mami Koyama,Animation, Drama, Fantasy,1,0
"Black Cat, White Cat",0.7592592592592595,0.3157894736842102,0.1358267716535433,0.0157190635451505,15,0.625,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Sidney Lumet,Al Pacino, John Cazale, Penelope Allen,Biography, Crime, Drama,1,0
The Life and Death of Colonel Blimp,0.25,0.3157894736842102,0.2066929133858267,0.0023411371237458,U,0.9027777777777776,"From the Boer War through World War II, a soldier rises through the ranks in the British military.",Federico Fellini,Marcello Mastroianni, Anouk Aimée, Claudia Cardinale,Drama,,,1,0
Investigation of a Citizen Above Suspicion,0.5,0.3157894736842102,0.1122047244094488,0.0013377926421404,R,0.8472222222222221,A high-ranking police inspector kills his mistress and deliberately plants clues indicating his responsibility for the crime in a sardonic test to prove that he is above suspicion.,Hwang Dong-hyuk,Gong Yoo, Jung Yu-mi, Kim Hyeon-soo,Crime, Drama, Thriller,1,0
Brotherhood,0.8148148148148131,0.3157894736842102,0.1614173228346457,0.0107023411371237,R,0.5,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",Alejandro G. Iñárritu,Emilio Echevarría, Gael García Bernal, Goya Toledo,Drama, Thriller,,2,0
Sicko,0.8425925925925917,0.3157894736842102,0.1279527559055118,0.0227424749163879,12A,0.6388888888888888,"A documentary comparing the highly profitable American health care industry to other nations, and HMO horror stories including shotgun deaths.",William Wyler,Gregory Peck, Audrey Hepburn, Eddie Albert,Comedy, Drama, Romance,1,0
The King of Kong,0.8425925925925917,0.3157894736842102,0.0413385826771653,0.0093645484949832,PG,0.7638888888888888,Die-hard gamers compete to break world records on classic arcade games.,Richard Attenborough,Ben Kingsley, John Gielgud, Rohini Hattangadi,Biography, Drama, History,1,0
Honeyland,0.9537037037037024,0.3157894736842102,0.0610236220472441,0.0033444816053511,12,0.7916666666666667,"The last female bee-hunter in Europe must save the bees and return the natural balance in Honeyland, when a family of nomadic beekeepers invade her land and threaten her livelihood.",Norman Jewison,Topol, Norma Crane, Leonard Frey,Drama, Family, Musical,1,0
Going Clear: Scientology & the Prison of Belief,0.9166666666666644,0.3157894736842102,0.1200787401574803,0.0107023411371237,15,0.7222222222222223,A documentary looking at the inner-workings of the Church of Scientology.,Ingmar Bergman,Bibi Andersson, Liv Ullmann, Margaretha Krook,Drama, Thriller,,1,0
Turtles Can Fly,0.8148148148148131,0.3157894736842102,0.0787401574803149,0.0036789297658862,15,0.7916666666666667,"Near the Iraqi-Turkish border on the eve of an American invasion, refugee children, like 13-year-old Kak (Ebrahim), gauge and await their fate.",Terry Jones,Graham Chapman, John Cleese, Michael Palin,Comedy,,,1,0
An Autumn Afternoon,0.4259259259259238,0.3157894736842102,0.108267716535433,0.0003344481605351,PG,0.875,An aging widower arranges a marriage for his only daughter.,Robert Aldrich,Bette Davis, Joan Crawford, Victor Buono,Drama, Horror, Thriller,1,0
The Corporation,0.8055555555555536,0.3157894736842102,0.171259842519685,0.0040133779264214,PG,0.625,Documentary that looks at the concept of the corporation throughout recent history up to its present-day dominance.,Emir Kusturica,Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic,Comedy, Drama, Fantasy,1,0
Minding the Gap,0.9444444444444428,0.3157894736842102,0.0688976377952756,0.0003344481605351,15,0.8472222222222221,Filmmaker Bing Liu searches for correlations between his skateboarder friends' turbulent upbringings and the complexities of modern masculinity.,Andrei Tarkovsky,Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko,Biography, Drama, History,1,0
The Internet's Own Boy: The Story of Aaron Swartz,0.9074074074074084,0.3157894736842102,0.09251968503937,0.0026755852842809,Not Rated,0.6111111111111112,"The story of programming prodigy and information activist Aaron Swartz, who took his own life at the age of 26.",Akira Kurosawa,Toshirô Mifune, Minoru Chiaki, Isuzu Yamada,Drama,,,1,0
Paradise Lost 3: Purgatory,0.8796296296296298,0.3157894736842102,0.124015748031496,0.0003344481605351,Not Rated,0.7916666666666667,A further followup of the case of the West Memphis Three and the decades long fight to exonerate them that finally gained traction with new DNA evidence.,Pradeep Ranganathan,Pradeep Ranganathan, Ivana, Yogi Babu,Comedy, Drama, Romance,1,0
Metal: A Headbanger's Journey,0.8240740740740726,0.3157894736842102,0.0748031496062992,0.0010033444816053,15,0.625,"An examination of the heavy metal music subculture that tries to explain why, despite the longevity and popularity of the genre, fans are marginalized and ridiculed for their passion.",David Lean,Celia Johnson, Trevor Howard, Stanley Holloway,Drama, Romance,,1,0
Why We Fight,0.8240740740740726,0.3157894736842102,0.0787401574803149,0.0,PG-13,0.5555555555555556,Is American foreign policy dominated by the idea of military supremacy? Has the military become too important in American life? Jarecki's shrewd and intelligent polemic would seem to give an affirmative answer to each of these questions.,"Vincent Paronnaud, Marjane Satrapi",Chiara Mastroianni, Catherine Deneuve, Gena Rowlands,Animation, Biography, Drama,2,0
The Brutalist,1.0,0.263157894736842,0.3070866141732283,0.0050167224080267,18,0.8611111111111112,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client.","Mahiro Maeda, Katsuichi Nakayama, Kazuya Tsurumaki",Megumi Ogata, Megumi Hayashibara, Yûko Miyamura,Animation, Action, Drama,1,0
Flow,1.0,0.263157894736842,0.0531496062992126,0.0073578595317725,U,0.8055555555555556,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",Sidney Lumet,Henry Fonda, Walter Matthau, Fritz Weaver,Drama, Thriller,,1,0
Mulholland Drive,0.7870370370370345,0.263157894736842,0.1751968503937007,0.1307692307692307,15,0.8194444444444444,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",Vishal Bhardwaj,Shahid Kapoor, Tabu, Shraddha Kapoor,Crime, Drama, Thriller,1,0
Titanic,0.75,0.263157894736842,0.2677165354330708,0.431438127090301,12,0.6527777777777777,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Alejandro Amenábar,Javier Bardem, Belén Rueda, Lola Dueñas,Biography, Drama,,0,2
Perfect Days,0.9907407407407404,0.263157894736842,0.1299212598425197,0.0224080267558528,PG,0.7222222222222223,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself.",Michael Moore,Michael Moore, Charlton Heston, Marilyn Manson,Documentary, Crime, Drama,1,0
True Romance,0.7129629629629619,0.263157894736842,0.1200787401574803,0.0802675585284281,18,0.4305555555555556,"In Detroit, a pop-culture enthusiast steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.",Louis Malle,Gaspard Manesse, Raphael Fejtö, Francine Racette,Drama, War,,2,0
Knives Out,0.9537037037037024,0.263157894736842,0.1417322834645669,0.2668896321070234,12A,0.75,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate.",Federico Fellini,Anthony Quinn, Giulietta Masina, Richard Basehart,Drama,,,0,0
Guardians of the Galaxy Vol. 3,0.9907407407407404,0.263157894736842,0.1811023622047244,0.1361204013377926,12A,0.5,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",Sam Wrench,Taylor Swift, Mike Meadows, Max Bernstein,Documentary, Music, Musical,2,0
Arrival,0.9259259259259238,0.263157894736842,0.1141732283464566,0.2662207357859532,12A,0.7361111111111112,"Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to communicate with the extraterrestrial visitors.",Luis Buñuel,Silvia Pinal, Jacqueline Andere, Enrique Rambal,Drama, Fantasy,,0,0
The Holdovers,0.9907407407407404,0.263157894736842,0.1476377952755905,0.0612040133779264,R,0.75,"A curmudgeonly instructor at a New England school remains on campus during Christmas break. He soon forms an unlikely bond with a brainy but damaged troublemaker, and with the school's cook, a woman who just lost a son in the Vietnam War.",Ingmar Bergman,Max von Sydow, Birgitta Valberg, Gunnel Lindblom,Drama,,,1,0
Avatar,0.8611111111111107,0.263157894736842,0.2047244094488189,0.4648829431438127,12A,0.7638888888888888,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Yôjirô Takita,Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki,Drama,,,0,2
Boogie Nights,0.75,0.263157894736842,0.1909448818897638,0.0933110367892976,18,0.8055555555555556,An idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.,José Padilha,Wagner Moura, Irandhir Santos, André Ramiro,Crime, Drama, Thriller,1,0
Iron Man,0.8518518518518512,0.263157894736842,0.1338582677165354,0.3979933110367893,12A,0.7083333333333333,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Robert Hamer,Dennis Price, Alec Guinness, Valerie Hobson,Comedy, Crime,,0,2
Harry Potter and the Prisoner of Azkaban,0.8148148148148131,0.263157894736842,0.1653543307086614,0.2377926421404682,PG,0.75,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",François Truffaut,Jacqueline Bisset, Jean-Pierre Léaud, François Truffaut,Comedy, Drama, Romance,0,0
In the Heat of the Night,0.4722222222222214,0.263157894736842,0.1023622047244094,0.0254180602006688,A,0.6666666666666667,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.",Daniel Petrie,Sidney Poitier, Claudia McNeil, Ruby Dee,Drama,,,1,0
Bohemian Rhapsody,0.9444444444444428,0.263157894736842,0.1496062992125984,0.203010033444816,12A,0.2916666666666666,"With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.",Frank Pavich,Alejandro Jodorowsky, Michel Seydoux, H.R. Giger,Documentary,,,2,1
Jojo Rabbit,0.9537037037037024,0.263157894736842,0.0984251968503937,0.1508361204013378,12A,0.4166666666666666,"A young German boy in the Hitler Youth, whose hero and imaginary friend is the country's dictator, is shocked to discover that his mother is hiding a Jewish girl in their home.",Terry Zwigoff,Robert Crumb, Aline Kominsky-Crumb, Charles Crumb,Documentary, Biography, Comedy,2,0
Shrek,0.7870370370370345,0.263157894736842,0.0629921259842519,0.2518394648829432,U,0.7777777777777777,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",Questlove,Dorinda Drake, Barbara Bland-Acosta, Darryl Lewis,Documentary, History, Music,0,0
Edge of Tomorrow,0.9074074074074084,0.263157894736842,0.108267716535433,0.2525083612040134,12A,0.5972222222222222,A man fighting in a war against aliens must relive the same day every time he dies until he can find a way to stop their power source with the help of an elite soldier.,Mahesh Narayanan,Fahadh Faasil, Nimisha Sajayan, Vinay Forrt,Action, Biography, Crime,2,0
Star Trek,0.8611111111111107,0.263157894736842,0.1358267716535433,0.2063545150501672,12A,0.75,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,Juraj Herz,Rudolf Hrusínský, Vlasta Chramostová, Jana Stehnová,Comedy, Crime, Drama,1,0
Almost Famous,0.7777777777777786,0.263157894736842,0.1259842519685039,0.097324414715719,15,0.8611111111111112,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Roberto Rossellini,Anna Magnani, Aldo Fabrizi, Marcello Pagliero,Drama, Thriller, War,1,0
Thor: Ragnarok,0.9351851851851832,0.263157894736842,0.1417322834645669,0.2792642140468228,12A,0.6388888888888888,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Aditya Chopra,Shah Rukh Khan, Kajol, Amrish Puri,Drama, Romance,,0,0
Children of Men,0.8333333333333321,0.263157894736842,0.1003937007874015,0.1785953177257525,15,0.7777777777777777,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Luis Buñuel,Silvia Pinal, Francisco Rabal, Fernando Rey,Drama,,,1,0
The Blues Brothers,0.5925925925925917,0.263157894736842,0.1476377952755905,0.0702341137123745,AA,0.4444444444444444,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",Akira Kurosawa,Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi,Action, Drama, Thriller,2,0
Mystic River,0.8055555555555536,0.263157894736842,0.1574803149606299,0.1638795986622073,15,0.7777777777777777,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.","Béla Tarr, Ágnes Hranitzky",Lars Rudolph, Peter Fitz, Hanna Schygulla,Drama, Mystery,,1,0
The Perks of Being a Wallflower,0.8888888888888893,0.263157894736842,0.0885826771653543,0.185953177257525,12A,0.5416666666666666,"Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.",Ari Folman,Ari Folman, Ron Ben-Yishai, Ronny Dayag,Documentary, Animation, Biography,2,1
In Bruges,0.8518518518518512,0.263157894736842,0.0964566929133858,0.1555183946488294,18,0.5416666666666666,"After a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",Charles Chaplin,Charles Chaplin, Claire Bloom, Nigel Bruce,Drama, Music, Romance,2,1
E.T. the Extra-Terrestrial,0.6111111111111107,0.263157894736842,0.1122047244094488,0.1471571906354515,PG,0.8888888888888888,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,Aniruddha Roy Chowdhury,Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari,Crime, Drama, Thriller,1,0
Zack Snyder's Justice League,0.9722222222222214,0.263157894736842,0.3622047244094488,0.1478260869565217,15,0.3611111111111111,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Laura Poitras,Edward Snowden, Glenn Greenwald, William Binney,Documentary, Biography,,2,1
District 9,0.8611111111111107,0.263157894736842,0.1062992125984252,0.2414715719063545,15,0.7361111111111112,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there.",Emir Kusturica,Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic,Comedy, Crime, Romance,0,0
Shaun of the Dead,0.8148148148148131,0.263157894736842,0.0807086614173228,0.2020066889632107,15,0.6666666666666667,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",Apoorv Singh Karki,Manoj Bajpayee, Adrija Sinha, Surya Mohan Kulshreshtha,Crime, Drama, Thriller,1,1
Dallas Buyers Club,0.8981481481481488,0.263157894736842,0.1161417322834645,0.174247491638796,15,0.6805555555555556,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Rajkumar Santoshi,Aamir Khan, Salman Khan, Raveena Tandon,Action, Comedy, Romance,1,1
Boyhood,0.9074074074074084,0.263157894736842,0.2106299212598425,0.1217391304347826,15,1.0,"The life of Mason, from early childhood to his arrival at college.",Ömer Faruk Sorak,Cem Yilmaz, Özge Özberk, Ozan Güven,Adventure, Comedy, Sci-Fi,1,0
X-Men: Days of Future Past,0.9074074074074084,0.263157894736842,0.1456692913385826,0.2525083612040134,12A,0.6527777777777777,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,William A. Wellman,Henry Fonda, Dana Andrews, Mary Beth Hughes,Drama, Western,,0,0
Wonder,0.9351851851851832,0.263157894736842,0.108267716535433,0.0588628762541806,PG,0.5277777777777778,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Rainer Werner Fassbinder,Brigitte Mira, El Hedi ben Salem, Barbara Valentin,Drama, Romance,,2,0
This Is Spinal Tap,0.6296296296296298,0.263157894736842,0.0472440944881889,0.0468227424749163,15,0.8888888888888888,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",Yuriy Bykov,Artyom Bystrov, Natalya Surkova, Yuriy Tsurilo,Crime, Drama, Thriller,1,0
Fantastic Mr. Fox,0.8611111111111107,0.263157894736842,0.0570866141732283,0.0909698996655518,PG,0.7638888888888888,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"Michael Powell, Emeric Pressburger",Roger Livesey, Deborah Kerr, Anton Walbrook,Drama, Romance, War,1,0
Do the Right Thing,0.6759259259259238,0.263157894736842,0.1220472440944882,0.0357859531772575,18,0.9027777777777776,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Elio Petri,Gian Maria Volontè, Florinda Bolkan, Gianni Santuccio,Crime, Drama,,1,0
Marriage Story,0.9537037037037024,0.263157894736842,0.155511811023622,0.1163879598662207,15,0.9166666666666669,A stage director and his actor wife struggle through a grueling divorce that pushes them to their personal and creative extremes. Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,Ingmar Bergman,Liv Ullmann, Max von Sydow, Sigge Fürst,Drama,,,1,0
Life of Pi,0.8888888888888893,0.263157894736842,0.1358267716535433,0.2244147157190635,PG,0.7083333333333333,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Kang Je-kyu,Jang Dong-gun, Won Bin, Lee Eun-ju,Action, Drama, War,1,0
Toy Story 2,0.768518518518519,0.263157894736842,0.0669291338582677,0.2103678929765886,U,0.8333333333333333,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Levent Semerci,Mete Horozoglu, Ilker Kizmaz, Birce Akalay,Action, Drama, Thriller,1,0
