Title,Year,Rating,Duration (minutes),Rating Amount,Group
126. Dangal,2016,8.3,161,221000,R
127. Taxi Driver,1976,8.2,114,961000,PG-13
128. Hamilton,2020,8.3,160,124000,R
129. The Wolf of Wall Street,2013,8.2,180,0,PG-13
130. Batman Begins,2005,8.2,140,0,Approved
131. For a Few Dollars More,1965,8.2,132,284000,PG
132. Green Book,2018,8.2,130,616000,Approved
133. Some Like It Hot,1959,8.2,121,291000,Passed
134. The Truman Show,1998,8.2,103,0,PG-13
135. Judgment at Nuremberg,1961,8.3,179,89000,R
136. The Kid,1921,8.2,68,139000,Approved
137. The Father,2020,8.2,97,207000,R
138. Shutter Island,2010,8.2,138,0,PG-13
139. All About Eve,1950,8.2,138,143000,R
140. There Will Be Blood,2007,8.2,158,661000,PG-13
141. Jurassic Park,1993,8.2,127,0,R
142. Casino,1995,8.2,178,583000,PG-13
143. The Sixth Sense,1999,8.2,107,0,R
144. Ran,1985,8.2,160,141000,R
145. Top Gun: Maverick,2022,8.2,130,753000,R
146. No Country for Old Men,2007,8.2,122,0,R
147. Pan's Labyrinth,2006,8.2,118,718000,PG-13
148. The Thing,1982,8.2,109,489000,R
149. Unforgiven,1992,8.2,130,448000,Approved
150. A Beautiful Mind,2001,8.2,135,0,Not Rated
151. Kill Bill: Vol. 1,2003,8.2,111,0,R
152. The Treasure of the Sierra Madre,1948,8.2,126,136000,G
153. Yojimbo,1961,8.2,110,136000,Approved
154. Prisoners,2013,8.2,153,851000,PG
155. Finding Nemo,2003,8.2,100,0,PG
156. The Great Escape,1963,8.2,172,265000,PG
157. Monty Python and the Holy Grail,1975,8.2,91,582000,PG
158. Howl's Moving Castle,2004,8.2,119,473000,PG
159. The Wild Robot,2024,8.2,102,117000,Not Rated
160. The Elephant Man,1980,8.2,124,267000,G
161. Dial M for Murder,1954,8.2,105,195000,R
162. Rashomon,1950,8.2,88,187000,R
163. Gone with the Wind,1939,8.2,238,343000,R
164. Chinatown,1974,8.1,130,361000,PG
165. The Secret in Their Eyes,2009,8.2,129,230000,PG
"166. Lock, Stock and Two Smoking Barrels",1998,8.1,107,630000,R
167. Klaus,2019,8.2,96,209000,R
168. Inside Out,2015,8.1,95,851000,R
169. V for Vendetta,2005,8.1,132,0,PG
"170. Three Billboards Outside Ebbing, Missouri",2017,8.1,115,573000,R
171. Raging Bull,1980,8.1,129,391000,PG-13
172. The Bridge on the River Kwai,1957,8.1,161,239000,R
173. Trainspotting,1996,8.1,93,742000,PG-13
174. Catch Me If You Can,2002,8.1,141,0,PG-13
175. Fargo,1996,8.1,98,745000,R
176. Warrior,2011,8.1,140,509000,PG-13
177. Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130,982000,PG-13
178. Gran Torino,2008,8.1,116,832000,G
179. Spider-Man: No Way Home,2021,8.2,148,929000,R
180. Million Dollar Baby,2004,8.1,132,739000,G
181. My Neighbor Totoro,1988,8.1,86,399000,PG
182. Mad Max: Fury Road,2015,8.1,120,0,R
183. Ben-Hur,1959,8.1,212,260000,PG
184. Children of Heaven,1997,8.2,89,84000,R
185. 12 Years a Slave,2013,8.1,134,757000,R
186. Barry Lyndon,1975,8.1,185,190000,R
187. Before Sunrise,1995,8.1,101,353000,R
188. Blade Runner,1982,8.1,117,845000,PG
189. The Grand Budapest Hotel,2014,8.1,99,914000,R
190. Hacksaw Ridge,2016,8.1,139,624000,Not Rated
191. Dead Poets Society,1989,8.1,128,578000,R
192. Gone Girl,2014,8.1,149,0,G
193. Memories of Murder,2003,8.1,132,232000,Approved
194. In the Name of the Father,1993,8.1,133,193000,G
"195. Monsters, Inc.",2001,8.1,92,0,R
196. The Gold Rush,1925,8.1,95,122000,PG
197. Ratatouille,2007,8.1,111,867000,PG
198. Wild Tales,2014,8.1,122,225000,R
199. How to Train Your Dragon,2010,8.1,98,829000,Passed
200. Jaws,1975,8.1,124,685000,Passed
201. Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,8.6,87,29000,Not Rated
202. The Deer Hunter,1978,8.1,183,372000,PG-13
203. Sherlock Jr.,1924,8.2,45,60000,Not Rated
204. The General,1926,8.1,78,101000,Approved
205. Mary and Max,2009,8.1,92,194000,Approved
206. Maharaja,2024,8.4,141,61000,Not Rated
207. Ford v Ferrari,2019,8.1,152,509000,Approved
208. The Wages of Fear,1953,8.1,156,69000,R
209. On the Waterfront,1954,8.1,108,170000,PG
210. Mr. Smith Goes to Washington,1939,8.1,129,125000,Not Rated
211. Wild Strawberries,1957,8.1,92,119000,R
212. The Third Man,1949,8.1,104,188000,Not Rated
213. Logan,2017,8.1,137,876000,R
214. Rocky,1976,8.1,120,651000,R
215. Tokyo Story,1953,8.1,137,72000,R
216. The Big Lebowski,1998,8.1,117,881000,PG-13
217. The Seventh Seal,1957,8.1,96,205000,PG-13
218. Spotlight,2015,8.1,129,513000,R
219. Room,2015,8.1,118,463000,Not Rated
220. The Terminator,1984,8.1,107,952000,Approved
221. Hotel Rwanda,2004,8.1,121,381000,R
222. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143,0,Approved
223. Platoon,1986,8.1,120,450000,Passed
224. La haine,1995,8.1,98,207000,R
225. Jai Bhim,2021,8.7,164,223000,G
226. Before Sunset,2004,8.1,80,298000,PG
227. The Best Years of Our Lives,1946,8.1,170,73000,R
228. The Passion of Joan of Arc,1928,8.1,114,63000,G
229. The Exorcist,1973,8.1,122,471000,R
230. The Wizard of Oz,1939,8.1,102,445000,R
231. The Incredibles,2004,8.0,115,841000,G
232. Rush,2013,8.1,123,528000,Not Rated
233. The Sound of Music,1965,8.1,172,272000,Not Rated
234. Stand by Me,1986,8.1,89,457000,Approved
235. Network,1976,8.1,121,176000,PG
236. Hachi: A Dog's Tale,2009,8.1,93,323000,Not Rated
237. My Father and My Son,2005,8.2,112,96000,R
238. The Handmaiden,2016,8.1,145,183000,Approved
239. To Be or Not to Be,1942,8.1,99,46000,Not Rated
240. The Iron Giant,1999,8.1,86,239000,PG
241. The Battle of Algiers,1966,8.1,121,69000,R
242. Into the Wild,2007,8.1,148,673000,PG-13
243. The Grapes of Wrath,1940,8.1,129,103000,Approved
244. A Man Escaped,1956,8.2,101,28000,Not Rated
245. Groundhog Day,1993,8.0,101,706000,Not Rated
246. Amores Perros,2000,8.0,154,258000,N/A
247. The Help,2011,8.1,146,507000,N/A
248. Rebecca,1940,8.1,130,151000,N/A
249. A Silent Voice: The Movie,2016,8.1,130,113000,N/A
250. Andhadhun,2018,8.2,139,107000,N/A
