Index,Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Stars,Genres
23.0,The Lord of the Rings: The Two Towers,2002.0,8.8,179.0,1900000.0,12A,87.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman","Animation, Action, Adventure"
24.0,12th Fail,2023.0,8.8,147.0,142000.0,12A,,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,Directors,Stars,Genres
25.0,The Phantom of the Opera at the Royal Albert Hall,2011.0,8.8,137.0,10000.0,PG,,"A disfigured musical genius, hidden away in the Paris Opera House, terrorizes the opera company for the unwitting benefit of a young protégée whom he trains and loves.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama
26.0,Balkan Spy,1984.0,8.8,95.0,13000.0,,,"Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events.",Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue","Animation, Action, Drama"
27.0,#Home,2021.0,8.8,158.0,16000.0,,,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","Crime, Drama"
28.0,Maratonci trce pocasni krug,1982.0,8.8,92.0,17000.0,,,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.",Ertem Egilmez,"Münir Özkul, Tarik Akan, Halit Akçatepe",Comedy
29.0,The Foster Brothers,1976.0,8.8,80.0,22000.0,,,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence.","Ram Mohan, Yûgô Sakô, Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman","Animation, Action, Adventure"
30.0,The Chaos Class Failed the Class,1975.0,8.8,95.0,25000.0,,,A young and beautiful female teacher starts working in an all boys high school.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam","Crime, Drama"
31.0,Interstellar,2014.0,8.7,169.0,2300000.0,12A,74.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Action, Crime, Drama"
32.0,GoodFellas,1990.0,8.7,145.0,1300000.0,18,92.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley","Biography, Drama, History"
33.0,The Matrix,1999.0,8.7,136.0,2100000.0,15,73.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Directors,Stars,Genres
34.0,One Flew Over the Cuckoo's Nest,1975.0,8.7,133.0,1100000.0,X,84.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",Drama
35.0,Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,124.0,1400000.0,U,82.0,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue","Animation, Action, Drama"
