James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong","Action, Adventure, Sci-Fi"
Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino","Animation, Adventure, Family"
Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini","Comedy, Drama, Romance"
Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore","Drama, Family, Fantasy"
Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima","Action, Drama"
Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita","Drama, Mystery"
Bilal Lashari,"Fawad Khan, Mahira Khan, Hamza Ali Abbasi","Action, Drama, Fantasy"
Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso","Comedy, Drama, Fantasy"
Haruo Sotozaki,,"Animation, Action, Fantasy"
Shaun Monson,Joaquin Phoenix,Documentary
Srdjan Dragojevic,"Dragan Bjelogrlic, Nikola Kojo, Dragan Maksimovic","Drama, History, War"
Mani Ratnam,"Kamal Haasan, Saranya Ponvannan, Delhi Ganesh","Crime, Drama"
Sundar C.,"Kamal Haasan, Madhavan, Kiran Rathod","Adventure, Comedy, Drama"
Nesli Çölgeçen,"Sener Sen, Erdal Özyagcilar, Nilgün Nazli","Comedy, Drama"
Ertem Egilmez,"Tarik Akan, Halit Akçatepe, Kahraman Kiral",Drama
Ertem Egilmez,"Münir Özkul, Kemal Sunal, Adile Nasit",Comedy
"Lenka Debiprasad, Vishal Mourya","Karan Kandhapan, Babushan Mohanty, Dipanwit Dashmohapatra","Adventure, Drama"
Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen","Action, Adventure, Drama"
Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson","Action, Adventure, Drama"
Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong","Drama, Thriller"
Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson","Crime, Drama, Thriller"
Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson","Drama, Mystery, Sci-Fi"
Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","Comedy, Drama, Western"
Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt","Horror, Sci-Fi"
Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist","Drama, Music"
Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri","Crime, Drama, Mystery"
Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson","Adventure, Comedy, Sci-Fi"
Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman","Action, Crime, Drama"
Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo","Crime, Drama"
Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay","Biography, Drama, Music"
"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones","Animation, Adventure, Drama"
"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Animation, Action, Adventure"
Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale","Drama, Western"
Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi","Animation, Drama, War"
Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid","Drama, Romance, War"
Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles","Horror, Mystery, Thriller"
"Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny","Comedy, Drama"
Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey","Drama, Mystery, Thriller"
Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili","Drama, Romance"
Kurt Kuenne,"Kurt Kuenne, Andrew Bagby, David Bagby","Documentary, Biography, Crime"
Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman","Comedy, Drama, Romance"
Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee","Comedy, Drama, Romance"
Mstyslav Chernov,"Liudmyla Amelkina, Mstyslav Chernov, Roman Golovanov","Documentary, War"
Ron Fricke,Patrick Disanto,Documentary
Asif Kapadia,"Ayrton Senna, Reginaldo Leme, John Bisignano","Documentary, Biography, Sport"
Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna","Action, Drama, Mystery"
Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca","Drama, Romance"
Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar",Drama
C. Prem Kumar,"Vijay Sethupathi, Trisha Krishnan, Adithya Bhaskar","Drama, Romance"
Madhu C. Narayanan,"Shane Nigam, Soubin Shahir, Fahadh Faasil","Comedy, Drama, Romance"
Jacques Becker,"André Bervil, Jean Keraudy, Michel Constantin","Crime, Drama, Thriller"
Hasan Fathi,"Parsa Pirouzfar, Shahab Hosseini, Hande Erçel","Drama, History, Romance"
"Waad Al-Kateab, Edward Watts","Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab","Documentary, Biography, War"
Jayathirtha,"Dharmendra Aras, Agratha Ashok, Anand Babu","Action, Drama, Romance"
Gowtam Tinnanuri,"Nani, Shraddha Srinath, Sathyaraj","Drama, Sport"
Pa. Ranjith,"Arya, Pasupathy, John Kokken","Action, Drama, Sport"
Mani Ratnam,"Rajinikanth, Mammootty, Shobana","Action, Crime, Drama"
Atif Yilmaz,"Türkan Soray, Kadir Inanir, Ahmet Mekin","Drama, Romance"
Kartal Tibet,"Kemal Sunal, Nevra Serezli, Metin Serezli",Comedy
Yann Arthus-Bertrand,"Yann Arthus-Bertrand, Glenn Close, Jacques Gamblin","Documentary, Family"
Hrishikesh Mukherjee,"Amol Palekar, Utpal Dutt, Bindiya Goswami","Comedy, Romance"
Zeki Ökten,"Kemal Sunal, Sener Sen, Aysen Gruda",Comedy
Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth","Adventure, Drama, War"
"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo","Action, Adventure, Drama"
Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman","Action, Adventure"
Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano","Mystery, Thriller"
Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway","Action, Drama, Thriller"
Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd","Drama, Horror"
"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Action, Adventure, Sci-Fi"
James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn","Action, Adventure, Horror"
Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall","Drama, Mystery, War"
