Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Stars
33,33. Goodfellas,1990,8.7,145,1300000,R,92.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci"
34,34. One Flew Over the Cuckoo's Nest,1975,8.7,133,1100000,R,84.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman"
35,35. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,1400000,PG,82.0,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher"
36,36. Jai Bhim,2021,8.7,164,223000,Approved,,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K."
37,37. Kill Bill: The Whole Bloody Affair,2006,8.7,247,18000,Not Rated,,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.",Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox"
38,38. Stop Making Sense,1984,8.7,88,22000,PG,94.0,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,Jonathan Demme,"David Byrne, Bernie Worrell, Alex Weir"
39,39. Shoah,1985,8.7,566,11000,Not Rated,99.0,Claude Lanzmann's epic documentary recounts the story of the Holocaust through interviews with witnesses - perpetrators as well as survivors.,Claude Lanzmann,"Simon Srebnik, Michael Podchlebnik, Motke Zaïdl"
40,40. Soorarai Pottru,2020,8.7,153,127000,,,"Inspired by the book 'Simply Fly', the film tells the story of Nedumaaran Rajangam known to friends as Maara, the son of a teacher, who sets out to make the common man fly and takes on the most capital intensive industry in the world with the help of his friends, family and sheer will power.",Sudha Kongara,"Suriya, Aparna Balamurali, Paresh Rawal"
41,41. 777 Charlie,2022,8.7,164,43000,,,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri"
42,42. Toma,2021,8.7,140,13000,,,"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul.","Dragan Bjelogrlic, Zoran Lisinac","Milan Maric, Tamara Dragicevic, Petar Bencina"
43,43. Rocketry: The Nambi Effect,2022,8.7,157,60000,,,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",Madhavan,"Madhavan, Simran, Rajit Kapoor"
44,44. Nayakan,1987,8.7,145,26000,Not Rated,,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",Mani Ratnam,"Kamal Haasan, Saranya Ponvannan, Delhi Ganesh"
45,45. Pariyerum Perumal,2018,8.7,154,19000,,,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",Mari Selvaraj,"Kathir, Anandhi, Yogi Babu"
46,"46. Saban, Son of Saban",1977,8.7,90,19000,,,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers Saban. After discharge from the army, Saban and his friend Ramazan work in a night club as member of the band. They ran again into Husamettin and his in laws, but things gets complicated when the diamond of the family is been stolen.",Ertem Egilmez,"Kemal Sunal, Halit Akçatepe, Sener Sen"
47,47. Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,8.7,138,17000,,,Tanjiro teams up with Zenitsu and Inosuke to investigate missing person cases on the mountain Natagumo. They slowly begin to realize the entire mountain is being controlled by a family of Demon spider creatures.,Haruo Sotozaki,
48,48. Who's Singin' Over There?,1980,8.7,86,17000,,,"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever.",Slobodan Sijan,"Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic"
