Year,Length (minutes),Rating Amount,Metascore,Rating,Weighted Rating,KMeans Cluster,Agglomerative Cluster
0.7222222222222214,0.1653543307086614,1.0,0.7600000000000001,1.0000000000000004,1.0,2,2
0.518518518518519,0.2303149606299212,0.6989966555183946,1.0,0.952380952380952,0.6916774471755066,2,2
0.8518518518518512,0.1850393700787402,1.0,0.7866666666666667,0.8571428571428572,0.967658473479948,2,2
0.7129629629629619,0.2696850393700787,0.4983277591973244,0.9333333333333336,0.8571428571428572,0.482535575679172,2,2
0.8055555555555536,0.281496062992126,0.6989966555183946,0.92,0.8571428571428572,0.6765847347994823,2,2
0.3796296296296297,0.0748031496062992,0.3,0.96,0.8571428571428572,0.2907503234152652,2,1
0.5370370370370345,0.2834645669291339,0.4648829431438127,0.8666666666666668,0.8571428571428572,0.4501940491591202,2,2
1.0,0.1535433070866141,0.0010033444816053,0.7999999999999999,0.8095238095238098,0.0015703607876958,2,0
0.7870370370370345,0.2362204724409448,0.6989966555183946,0.8933333333333334,0.8095238095238098,0.6690383786114704,2,2
0.7222222222222214,0.1889763779527559,0.7658862876254181,0.9333333333333336,0.8095238095238098,0.7330027310622393,2,2
0.8703703703703702,0.1771653543307086,0.8662207357859532,0.6533333333333333,0.7619047619047623,0.8196061520770446,2,2
0.768518518518519,0.1594488188976378,0.7993311036789298,0.56,0.7619047619047623,0.7563605002156101,2,2
0.7222222222222214,0.1653543307086614,0.7658862876254181,0.7600000000000001,0.7619047619047623,0.7247376742848928,2,2
0.7962962962962941,0.2381889763779527,0.5986622073578596,0.8266666666666668,0.7619047619047623,0.5666235446313065,2,2
0.4629629629629619,0.2362204724409448,0.2779264214046822,0.8666666666666668,0.7619047619047623,0.263360643955728,2,1
0.9074074074074084,0.218503937007874,0.7658862876254181,0.6533333333333333,0.714285714285714,0.7164726175075462,2,2
0.768518518518519,0.1535433070866141,0.6989966555183946,0.64,0.714285714285714,0.6539456662354461,2,2
0.6851851851851833,0.171259842519685,0.431438127090301,0.8933333333333334,0.714285714285714,0.4038378611470461,2,2
0.5462962962962941,0.1476377952755905,0.3645484949832776,0.7866666666666667,0.714285714285714,0.341310909874946,2,2
0.5925925925925917,0.1299212598425197,0.4648829431438127,0.7600000000000001,0.714285714285714,0.4351013367830961,2,2
0.6296296296296298,0.0590551181102362,0.0040133779264214,0.92,0.714285714285714,0.0042906425183268,2,1
